,Notes,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit, Current InHouse & Intransit , Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
43,,104689,CERANIL D 1188,SAMIA,O,-,-,65,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.2, -   , -   , -   ,,, -   , -   ,0 ,0 ,
44,,104786,CERA ST,GSC ITALY,O,COMPOUND,THUNDER art,80,50, -   ,-, -   , 46 , -   , 1 , 1 , -   , 46.00 ,4.7, 46.00 , -   , -   ,,, -   , -   ,46 ,46 ,
45,,105153,FYL WAX CERA ST,GSC ITALY,O,-,THUNDER,80,50, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,
46,Waiting for shipment,104541,CICLOESANONE *,Samchem,D,COMPOUND,EFF - FISS nitro,14,190, -   ,-, 570 , 259 ," 1,038 ", 729 , 848 , 375 , 0.80 ,2.5, 0.80 ," 1,765 ", 9.3 ,,," 1,038 ", 614 ,215 ,(209),
47,,104690,DC65,NG?C LAN,D,COMPOUND,"EFF water: GRETNA TT,HILLIARD TT, FLORIDA,JAVILLE TT",14,120, -   ,-, 120 , 95 , 1 , 8 , -   , -   , -   ,2.5, -   , -   , -   ,,, 1 , -   ,215 ,214 ,
48,Replacement,104787,DERMATOP TP,GSC ITALY,O,-,-,80,50, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,
49,,104773,TO-VI-97,GSC ITALY,O,COMPOUND,"Emulsione Light, NCC ?ã ??i tên thành (WASSERLAC 77 ACB)",80,110, -   ,-, 880 , 620 , 584 , 650 , 699 , 114 , 2.57 ,4.7, 7.84 ," 1,226 ", 11.1 ,,, 584 , 114 ,"1,386 ",916 ,
50,,105179,WASSERLAC 77 ACB,GSC ITALY,O,-,"Emulsione Light,Tên m?i c?a TO-VI-97",80,110," 3,080 ",2023-04-22::1430.0|||2023-05-14::1650.0, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,
51,,104780,EUDERM MATT SN2,LANSESS,O,-,to make the transfer article Hermes from Itumbiara to VN.,26,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.9, -   , -   , -   ,,, -   , -   ,0 ,0 ,
52,"Waiting for shipment.
Replacement",104926,TOP 100 M,GSC ITALY,O,COMPOUND,NCC doi ten thanh (DERMATOP DULL S),80,120, -   ,-, 120 , 2 , 258 , 122 , 138 , 10 , 0.47 ,4.7, 4.19 ," 1,084 ", 9.0 ,,, 258 , 51 ,71 ,(136),
