,Notes,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit, Current InHouse & Intransit , Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
205,,105045,SAMIANIL CB NERO RP,SAMIA,O,PIGMENT,This chemical will be applied on leather flesh side to use color that is in stock for long time (green,70,1, -   ,-, 320 , 26 , 7 , 8 , 12 , 3 , 28.83 ,4.8, 28.83 , -   , -   ,,, 7 , -   ,346 ,339 ,
206,,105124,SUPRONIL BLACK LD-5915,STAHL Germany,O,-,-,80,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,
207,,104962,RODA LEVELLER B-LM,TFL,O,COMPOUND,add on FISS water,85,120, -   ,-, 720 , 10 , 91 , 95 , 107 , 23 , 8.02 ,4.8, 8.02 , -   , -   ,,, 91 , 86 ,644 ,639 ,
208,Replacement,104902,SAMIACEL MACCHIA 3338,SAMIA,O,COMPOUND,-,70,50, -   ,-, -   , -   , 279 , -   ,, -   , -   ,4.3, -   ," 1,200 ", 24.0 ,,, 279 , 229 ,(229),(279),
209,,105534,SAMIACEL MACCHIA 3338 ET,SAMIA,O,-,KELA,70,50, 500 ,2023-05-25::500.0, 200 , 105 , -   , 230 , 261 , 109 , 1.17 ,4.3, 3.08 , -   , -   ,,, -   , -   ,305 ,305 ,
210,,104882,SMITFIX RL 9492,SMIT FINISHING,O,-,MALDONADO  LUX,85,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
211,,104497,RODA WAX KCF 638,-,O,COMPOUND,-,0,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,2, -   , -   , -   ,,, -   , -   ,0 ,0 ,
212,,104946,RODA KCF 684,TFL LEDERTECHNIK GMBH,O,COMPOUND,"KARMA/TUNDRA, THUNDER",85,120, -   ,-, -   , 217 , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,217 ,217 ,
213,,105402,ICALAC SB1 MATT,ICAP,O,-,"FISS Ellington, BENFICA, CARUSO,VISEU",83,23, -   ,-," 1,679 ", 59 , -   , 68 , 53 , 21 , 32.79 ,4.8, 32.79 , -   , -   ,,, -   , -   ,"1,738 ","1,738 ",
214,,104572,ICALAC SB 215,ICAP,O,COMPOUND,"FISS Ellington, BENFICA, CARUSO,VISEU",83,110, -   ,-," 3,410 ", 13 , 376 , 307 , 237 , 116 , 9.10 ,4.8, 9.10 , -   , -   ,,, 376 , 76 ,"3,347 ","3,047 ",
215,,105084,GEALUX QT,Getti Brazil ,O,COMPOUND,"TATO Milling  Ellington, BENFICA, CARUSO",68,120, -   ,-," 1,000 ", 145 , 74 , 61 , 35 , 23 , 15.47 ,4.3, 15.47 , -   , -   ,,, 74 , 18 ,"1,127 ","1,071 ",
216,,104842,RODA CARE NC,-,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,2, -   , -   , -   ,,, -   , -   ,0 ,0 ,
218,,104847,RODA FEEL S 2081,TFL,O,COMPOUND, FISS water & nitro (1 s? article),85,25, -   ,-, 350 , 87 , 30 , 29 , 16 , 4 , 14.57 ,4.8, 14.57 , -   , -   ,,, 30 , 18 ,419 ,407 ,
219,,100047, Rosilk 2229 Feel Modifier,TFL Brazil,O,-,backup for RODA FEEL S 2081,85,25, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
220,,104852,RU 74-987,STAHL Singapore,O,-,-,80,110, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,
221,,104870,WT-48-459,-,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,2, -   , -   , -   ,,, -   , -   ,0 ,0 ,
222,,104900,NOVA EXP 2052/NF,-,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   , -   ,2, -   , -   , -   ,,, -   , -   ,0 ,0 ,
223,,104905,FOAM A 10,-,O,-,-,0,100, -   ,-, -   , -   , -   , -   ,, -   , -   ,2, -   , -   , -   ,,, -   , -   ,0 ,0 ,
224,,104911,ISOLAC FINISH 2081,-,O,-,-,0,50, -   ,-, -   , -   , -   , -   ,, -   , -   ,2, -   , -   , -   ,,, -   , -   ,0 ,0 ,
225,Shipment need to be on time,105020,BASEMASK 5755/T2,SMIT FINISHING S.P.A,O,-,ch?y BASEMASK,70,40," 1,920 ",2023-04-13::1920.0, 520 , 360 , -   , 564 , 692 , 410 , 1.27 ,4.3, 4.05 , -   , -   ,,, -   , -   ,880 ,880 ,
226,,105027,RODA TEC AW,TFL,O,COMPOUND,"Fiss Baltimora (art ALINE K TT, BALI….)",85,120, -   ,-," 4,320 ", 655 ," 1,545 ", 904 ," 1,006 ", 412 , 3.22 ,4.8, 3.22 ," 2,472 ", 20.6 ,,," 1,545 ", 608 ,"4,367 ","3,430 ",
227,,105025,RODA BASE AF-B,TFL,O,-,"RIM HERCULES,FON CAPRI",85,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
228,,105559,RODA BASE AF-B/N,TFL,O,COMPOUND,"RIM  AJAX TT,HERCULES,FON CAPRI",85,120, -   ,-," 1,560 ", 61 , 160 , 90 , 50 , 26 , 10.13 ,4.8, 10.13 , -   , -   ,,, 160 , -   ,"1,621 ","1,461 ",
229,,105026,RODA FIX 6271/C,TFL,O,-,-,85,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
230,,101261,EUDERM NAPPA SOFT S2-A,TFL Italy,O,COMPOUND,"Bowie/Viseu / Ellington lux TT & K TT,MALTESSE, VENEZA LUX",85,115, -   ,-," 3,305 ", 539 ," 1,174 ", 589 , 545 , 730 , 3.27 ,4.8, 3.27 ," 1,761 ", 15.3 ,,," 1,174 ", 249 ,"3,595 ","2,670 ",
231,,100041,PRIMAL SB-100,LANXESS,O,-,"Bowie / Ellington lux TT & K TT,TAB,MALTESSE",25,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
232,,105614,PRIMAL LH-100,LANXESS,O,-,"Bowie / Ellington lux TT & K TT,TAB,MALTESSE",25,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
233,,105655,PRIMAL LH 500 ,TFL Brazil,O,COMPOUND,"Bowie/Viseu / Ellington lux TT & K TT,MALTESSE, VENEZA LUX",85,120, -   ,-," 10,000 ", 549 ," 2,673 "," 1,356 "," 1,260 "," 1,617 ", 3.95 ,4.8, 3.95 ," 2,406 ", 20.0 ,,," 2,673 ", 568 ,"9,981 ","7,876 ",
234,,104221,PRIMAL SB-150,LANXESS,O,-,"PRE HERCULES,Bowie / Ellington lux TT & K TT, TAB,MALTESSE",25,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
235,,105615,PRIMAL LH-150,LANXESS,O,-,"Bowie / Ellington lux TT & K TT, TAB,MALTESSE",25,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
236,,105656,PRIMAL LH 550,TFL Brazil,O,COMPOUND,"PRE HERCULES, AJAX TT,Bowie/Viseu / Ellington lux TT & K TT, TAB,MALTESSE, GOBIEW, VENEZA LUX",85,120, -   ,-," 9,000 ", 471 ," 1,389 ", 809 , 819 , 899 , 6.82 ,4.8, 6.82 , -   , -   ,,," 1,389 ", 291 ,"9,180 ","8,082 ",
237,Waiting for shipment,105008,BINDER M-RI 99,GSC GROUP S.P.A,O,COMPOUND,"RIM (white color), EF HERCULES,  AJAX TT, EFF BONO TT TIP,TORONTO TAB)",70,120," 3,840 ",2023-04-17::3840.0," 3,000 "," 1,065 "," 1,483 "," 1,445 "," 1,220 ", 337 , 2.74 ,4.3, 5.33 , -   , -   ,,," 1,483 ", 162 ,"3,903 ","2,582 ",
238,Waiting for shipment,104959,EX-LS-64-468,STAHL Singapore,O,COMPOUND,BUY MORE 225,25,25, 400 ,2023-04-09::100.0|||2023-04-09::100.0|||NaT::200.0, -   , -   , -   , 154 , 148 , -   , -   ,2.8, 2.70 , -   , -   ,,, -   , -   ,0 ,0 ,
239,,104706,AQUABASE HF LIQ,STAHL Germany,O,-,-,80,90, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,
240,,105127,BIOTHANE UW 6522,ORCHID CHEM (NG?C LAN),D,-,Tipshine,14,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,2.5, -   , -   , -   ,,, -   , -   ,0 ,0 ,
241,,105167,Aquabase HP ,Stahl ,O,-,"STUCCO BY GEMATA=> xài h?t không mua n?a, chuy?n qua xài RODA CARE 5754",70,75, -   ,-, -   , -   , -   ," 1,008 ",, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
242,,105658,AQUABASE UPH,Stahl ,O,-,STUCCO BY GEMATA=> check stock RODA CARE 5754 và check l?i v?i Technician ??i qua AQUABASE UPH (n?u ??i thì báo Singapore tr??c 3 tháng ?? keep stock và mua t?i Singapore),70,75, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
243,Waiting for shipment,104910,RODA CARE 5754,TFL,O,-,STUCCO BY GEMATA=> check stock và check l?i v?i Technician ??i qua AQUABASE UPH (n?u ??i thì báo Singapore tr??c 3 tháng ?? keep stock và mua t?i Singapore),85,70," 1,800 ",2023-05-16::1800.0," 12,000 "," 1,137 ", -   ," 3,399 "," 4,540 "," 1,833 ", 2.89 ,4.8, 3.29 , -   , -   ,,, -   , -   ,"13,137 ","13,137 ",
244,,105218,FOUNDER ROLLER 2515 ,SAMIA,O,-,-,80,40, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,
245,,105126,ANTIFOAM NS-165,Vina Hào D??ng,D,COMPOUND,"add on FISS water, Basemask 5755",14,25, -   ,-, -   , 54 , 3 , 6 , 5 , 1 , 10.80 ,2.5, 10.80 , -   , -   ,,, 3 , -   ,54 ,51 ,
247,,105175,SMITFIX G 9633,SMIT FINISHING S.P.A,O,COMPOUND,"Tên Article có TIP,  TIPSHINE BY HAND & MILLIPUNTE",70,120, -   ,-," 8,400 ", 98 , 69 , 65 , 38 , 22 , 123.16 ,4.3, 123.16 , -   , -   ,,, 69 , 15 ,"8,483 ","8,429 ",
248,,105600,EX-WT-35-703,STAHL Germany,O,COMPOUND,FISS ANKUR K TT,83,120, 120 ,2023-05-14::120.0, 480 , 231 , 28 , 91 , 131 , -   , 25.39 ,4.8, 29.68 , -   , -   ,,, 28 , -   ,711 ,683 ,
249,Replacement,105080,RODA CARE HB,TFL,O,COMPOUND,PRE HERCULES,85,100, -   ,-, -   , -   , 113 , -   ,, -   , -   ,4.8, -   , 542 , 5.4 ,,, 113 , -   ,0 ,(113),
250,,105516,RODA CARE HB-B,TFL,O,-,"PRE HERCULES, AJAX TT",85,100, -   ,-," 2,000 ", 44 , -   , 130 , 63 , 28 , 32.44 ,4.8, 32.44 , -   , -   ,,, -   , -   ,"2,044 ","2,044 ",
251,,105255,MA-22-617,STAHL Spain,O,COMPOUND,"EF HERCULES, AJAX TT",71,25, -   ,-, 750 , 44 , 6 , 9 , 5 , -   , 158.80 ,4.4, 158.80 , -   , -   ,,, 6 , -   ,794 ,788 ,
252,Replacement,105393,RODA FEEL KTA 950,TFL,O,COMPOUND,"FIS HERCULES, AJAX TT, FLESH SIDE , Tatto Milling",85,25, -   ,-, 650 , 109 , -   , 115 , 111 , 63 , 6.84 ,4.8, 6.84 , -   , -   ,,, -   , -   ,759 ,759 ,
253,,105012,RODA FEEL KTA 950 BR ,TFL,O,COMPOUND,"FIS HERCULES, KELA FLESH SIDE BONO TT TIP",85,30, -   ,-, -   , -   , 292 , -   ,, -   , -   ,4.8, -   ," 1,402 ", 46.7 ,,, 292 , 209 ,(209),(292),
254,,105203,RODA FIX 6306,TFL Brazil,O,COMPOUND,"FIS HERCULES, AJAX TT",85,200, -   ,-," 1,400 ", 173 , 62 , 101 , 71 , 265 , 25.37 ,4.8, 25.37 , -   , -   ,,, 62 , -   ,"1,573 ","1,511 ",
255,Replacement,105059,RODA FEEL S 2075-BR,TFL,O,COMPOUND,"ch?t này gi?ng RODA FEEL S 2075 , MILLING HERCULES, AJAX TT",85,10, -   ,-, 40 , -   , 4 , -   ,, -   , -   ,4.8, -   , -   , -   ,,, 4 , -   ,40 ,36 ,
256,,105349,RODA FEEL S 2075,TFL,O,-,"ch?t này gi?ng RODA FEEL S 2075-BR , MILLING HERCULES, AJAX TT",85,120, 100 ,2023-05-12::75.0|||2023-05-16::25.0, 50 , 13 , -   , 1 , 1 , -   , 63.00 ,4.8, 163.00 , -   , -   ,,, -   , -   ,63 ,63 ,
257,,104949,RODA BASE RECO 3,TFL,O,COMPOUND,"PRE-CAPRI, ANKUR K TT",85,120, -   ,-, 480 , 77 , 37 , 18 , 13 , 10 , 15.05 ,4.8, 15.05 , -   , -   ,,, 37 , -   ,557 ,520 ,
258,,104951,SMITFIX RL 9549,SMIT FINISHING S.P.A,O,-,July08-Alan:Place an order for 360kg 9549 ASAP-cancel,83,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
259,,105492,SELLA DERM YELLOW M2,TFL,O,COMPOUND,"pigment SIENA, EF WATER",85,25, -   ,-, 50 , 4 , 3 , 9 , 10 , 3 , 5.40 ,4.8, 5.40 , -   , -   ,,, 3 , 4 ,50 ,51 ,
260,,104978,DARKWAX 6G,GSC,O,COMPOUND,THUNDER,70,120, -   ,-, 240 , 120 , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,360 ,360 ,
261,,105158,FYL WAX 6G,GSC,O,-,THUNDER,70,120, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,
262,,105547,SELLA DERM LIGHT BLUE M2,TFL Italy,O,COMPOUND,pigment SIENA,85,25, -   ,-, 25 , 4 , -   , 1 , -   , -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,29 ,29 ,
263,,105548,SELLA DERM FUCSIA M2,TFL Italy,O,COMPOUND,pigment SIENA,85,25, -   ,-, -   , 7 , -   , 2 , 2 , 1 , 3.50 ,4.8, 3.50 , -   , -   ,,, -   , -   ,7 ,7 ,
264,,105549,SELLA DERM ARANCIO M2,TFL Italy,O,COMPOUND,pigment SIENA ( không mua n?a khi nào h?t s? xài DHL ORANGE),85,25, 25 ,2023-05-16::25.0, -   , 8 , -   , 3 , 4 , -   , 2.00 ,4.8, 8.25 , -   , -   ,,, -   , -   ,8 ,8 ,
265,,105409,RODA GROUND RECO 5,TFL Italy,O,COMPOUND,SIENA,85,120, -   ,-," 13,320 ", 114 , 35 , 118 , 75 , 10 , 383.83 ,4.8, 383.83 , -   , -   ,,, 35 , -   ,"13,434 ","13,399 ",
266,,105545,RODA WAX 4092,TFL Italy,O,COMPOUND,SIENA,85,110, -   ,-," 2,640 ", 140 , 12 , 35 , 19 , 3 , 231.67 ,4.8, 231.67 , -   , -   ,,, 12 , -   ,"2,780 ","2,768 ",
267,,105369,RODA PUR ADX,TFL Italy,O,COMPOUND,SIENA,85,120, -   ,-," 2,640 ", 140 , 8 , 27 , 16 , 2 , 173.75 ,4.8, 173.75 , -   , -   ,,, 8 , -   ,"2,780 ","2,772 ",
268,,104944,RODA OIL KCF 673,TFL Italy,O,COMPOUND,SIENA,85,110, -   ,-," 4,510 ", 140 , 80 , 51 , 23 , -   , 58.13 ,4.8, 58.13 , -   , -   ,,, 80 , -   ,"4,650 ","4,570 ",
269,,105063,FI 18988,STAHL,O,-,SIENA,70,25, -   ,-, -   , 15 , -   , 1 , 3 , -   , 5.00 ,4.3, 5.00 , -   , -   ,,, -   , -   ,15 ,15 ,
270,,105560,RODA FIX 5792/N2,TFL Italy,O,-,-,85,120, -   ,-, 120 , 73 , -   , -   ,, -   , -   ,4.8,#DIV/0!, -   , -   ,,, -   , -   ,193 ,193 ,
271,,105621,RODA WAX KCF 604/N,TFL Italy,O,COMPOUND,SIENA,85,120, 240 ,2023-05-12::240.0," 2,280 ", 419 , 82 , 276 , 184 , 24 , 32.91 ,4.8, 35.84 , -   , -   ,,, 82 , -   ,"2,699 ","2,617 ",
272,,105626,NNXC R-16L,,O,-,sample-Shippiment Brazil to JBS Vietnan,83,30, -   ,-," 1,060 ", -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,"1,060 ","1,060 ",
273,,105685,PRIMEX 2293,GSC,O,-,sample-Chemicals for Chamois and Maestro ,70,5, -   ,-, 5 , -   , -   , -   ,, -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,5 ,5 ,
274,,105193,ADDITIVE LIV 2455/2,GSC,O,-,sample-Chemicals for Chamois and Maestro ,83,5, -   ,-, 5 , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,5 ,5 ,
275,,105684,FYL WAX 2500,GSC,O,-,sample-Chemicals for Chamois and Maestro ,83,10, -   ,-, 10 , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,10 ,10 ,
276,,105682,FYL WAX 69,GSC,O,-,sample-Chemicals for Chamois and Maestro ,83,50, -   ,-, 120 , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,120 ,120 ,
277,,105638,PEVIT XVS 5491,GSC,O,-,Chemicals for Chamois and Maestro ,83,1, -   ,-, -   , -   , -   , -   ,,, -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
278,,104930,RODA PUR WX,TFL,O,-,sample-Chemicals for Chamois and Maestro ,85,1, -   ,-, -   , 46 , -   , 2 , 4 , -   , 11.50 ,4.8, 11.50 , -   , -   ,,, -   , -   ,46 ,46 ,
279,,,ISOLAC FUCSIA LP,GSC,O,-,Chemicals for Chamois and Maestro ,83,1, -   ,-, -   , -   , -   , -   ,,, -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
280,,105612,SHADE FUXIA/EJ,GSC,O,-,-,83,10, -   ,-, -   , -   , -   , -   ,, -   , -   ,4.8, -   , -   , -   ,,, -   , -   ,0 ,0 ,
281,,104948,RODA WAX 6311,TFL Brazil,O,-,-,85,120, 240 ,2023-04-20::240.0, -   , 10 , -   , 15 , 5 , -   , 2.00 ,4.8, 50.00 , -   , -   ,,, -   , -   ,10 ,10 ,
282,,105079,RODA CARE CE/N2,TFL Italy,O,-,-,85,80," 1,200 ",2023-05-12::1200.0, -   , -   , -   , 13 , 27 , -   , -   ,4.8, 44.44 , -   , -   ,,, -   , -   ,0 ,0 ,
