,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
41,104538,BUTILGLICOLE,SAMCHEM,D,-,-,14,188, -   ,-, -   , -   , -   , -   ,,,3.5,0, -   , -   ,,,, -   ,0 ,,
42,105282,BUTYL CELLOSOLVE (BCS),SAMCHEM,D,-,ve sinh kela,14,188, -   ,-, -   , 188 , -   , 31 , 63 ,5.9,3.5,5.9, -   , -   ,,, 32 , -   ,188 ,156 ,
43,104689,CERANIL D 1188,SAMIA,O,-,-,65,1, -   ,-, -   , -   , -   , -   ,,,5.2,0, -   , -   ,,,, -   ,0 ,,
44,104786,CERA ST,GSC ITALY,O,COMPOUND,THUNDER art,70,50, -   ,-, 50 , -   , -   , -   ,,,5.3,0, -   , -   ,,,, -   ,50 ,,
45,105153,FYL WAX CERA ST,GSC ITALY,O,-,THUNDER,70,50, -   ,-, -   , -   , -   , -   ,,,5.3,0, -   , -   ,,,, -   ,0 ,,
46,104541,CICLOESANONE *,Samchem,D,COMPOUND,EFF - FISS nitro,14,190, -   ,-," 2,850 ", 318 , 694 , 547 , 576 ,5,3.5,5, -   , -   ,,, 635 , 409 ,"2,759 ","2,533 ",
47,104690,DC65,NG?C LAN,D,COMPOUND,"EFF water: GRETNA TT,HILLIARD TT, FLORIDA,JAVILLE TT",14,120, -   ,-, 120 , 99 , 2 , 10 , 2 ,109.5,3.5,109.5, -   , -   ,,, 2 , -   ,219 ,217 ,
48,104787,DERMATOP TP,GSC ITALY,O,-,-,70,50, -   ,-, -   , -   , -   , -   ,,,5.3,0, -   , -   ,,,, -   ,0 ,,
49,104773,TO-VI-97,GSC ITALY,O,COMPOUND,"Emulsione Light, NCC ?ã ??i tên thành (WASSERLAC 77 ACB)",70,110," 1,430 ",NaT::1430.0," 2,750 ", 496 , 455 , 555 , 477 ,7,5.3,10, -   , -   ,,, 466 , 108 ,"3,138 ","2,780 ",
50,105179,WASSERLAC 77 ACB,GSC ITALY,O,-,"Emulsione Light,Tên m?i c?a TO-VI-97",70,110, -   ,-, -   , -   , -   , -   ,,,5.3,0, -   , -   ,,,, -   ,0 ,,
51,104780,EUDERM MATT SN2,LANSESS,O,-,to make the transfer article Hermes from Itumbiara to VN.,26,120, -   ,-, -   , -   , -   , -   ,,,3.9,0, -   , -   ,,,, -   ,0 ,,
52,104926,TOP 100 M,GSC ITALY,O,COMPOUND,NCC ?ã ??i tên thành (DERMATOP DULL S),70,120, 480 ,NaT::480.0, 360 , 103 , 307 , 98 , 104 ,2.2,5.3,4.6, 144 , 1.2 ,,, 206 , 49 ,414 ,257 ,
53,105176,DERMATOP DULL S,GSC ITALY,O,-,Tên m?i c?a TOP 100 M,70,120, -   ,-, 360 , -   , -   , -   ,,,5.3,0, -   , -   ,,,, -   ,360 ,,
54,104965,RODA LINK C/70,TFL,O,COMPOUND,cross linker,83,10, -   ,-," 2,040 ", 148 , 347 , 314 , 314 ,6.6,5.8,6.6, -   , -   ,,, 330 , 130 ,"2,058 ","1,858 ",
55,104939,AQUAFIX LUCID 555,GSC,O,COMPOUND,NCC ?ã ??i tên thành (AQ SYSTEM 555 LUX),70,120, -   ,-, -   , 39 ," 2,498 "," 2,302 "," 1,975 ",0,5.3,0," 11,851 ", 98.8 ,,," 2,236 ", 506 ,(467),"(2,197)",
56,105150,AQ SYSTEM 555 LUX,GSC,O,-,Tên m?i c?a AQUAFIX LUCID 555,70,120," 8,640 ",2023-02-05::1200.0|||2023-02-26::600.0|||NaT::3000.0|||NaT::3840.0," 4,080 "," 1,095 ", -   , 183 , 367 ,28.1,5.3,75.1, -   , -   ,,, 184 , -   ,"5,175 ","4,991 ",
57,105021,EXP AQUAFIX 1016,GSC,O,-,"TIP,BONO, VANILE,CAPE TOWN TIP,DAKOTA TIP / replace with 555",70,120, -   ,-, -   , -   , -   , -   ,,,5.3,0, -   , -   ,,,, -   ,0 ,,
58,105086,EX WT 43 051,STAHL(Singapore),O,COMPOUND,"Fis Baltimora,FISS art: ANGKOR,CAPITAL,TAMPA,FARO,ALINE K TT HP,GABLES,SAHARA, NOKOR, AZORES,MERO",25,110," 6,890 ",2023-02-12::770.0|||2023-02-12::4620.0|||NaT::1500.0, -   , 58 ," 1,712 "," 1,366 "," 2,062 ",0,3.8,3.7, 189 , 1.7 ,,," 1,887 "," 1,269 ","(1,211)","(1,829)",
59,104555,FI-70-306,STAHL(Singapore),O,COMPOUND,"FISS art: Vintage, EFF Deco/Lux, EFF Classic TT",25,55, 110 ,NaT::110.0, 330 , 68 , 314 , 155 , 135 ,1.8,3.8,2.3, 336 , 6.1 ,,, 224 , 205 ,193 ,174 ,
60,104512,Melio Wax AL-03,Stahl Singapore,O,-,"WAX DECO&CLASSIC, FISS1 VINTAGE",23,60, -   ,-, -   , -   , -   , -   ,,,3.8,0, -   , -   ,,,, -   ,0 ,,
61,104805,CONTEX FUCHSIA,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , 2 , 1 ,,,5.3,0, -   , -   ,,,, 8 ,(8),,
62,105462,OPERA RUBINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,560 ", 128 , 50 , 14 , 15 ,52.8,5.3,52.8, -   , -   ,,, 32 , 10 ,"1,678 ","1,656 ",
63,104803,GIALLO CONTEX ECP,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , 42 , -   ,,,5.3,0, -   , -   ,,,, 7 ,(7),,
64,105468,OPERA GIALLO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 4,440 ", 478 , 592 , 296 , 267 ,11.4,5.3,11.4, -   , -   ,,, 430 , 135 ,"4,783 ","4,488 ",
65,104557,CONTEX GIALLO PK,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , 6 , -   ,,,5.3,0, -   , -   ,,,, -   ,0 ,,
66,105472,OPERA ARANCIO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 840 , 163 , 98 , 49 , 59 ,12.9,5.3,12.9, -   , -   ,,, 78 , 85 ,918 ,925 ,
