,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size,Intransit,Intransit_Notes,Stock_CH01,Stock_CH10,monthly Chemical Forecast,monthly Consumption (6months),monthly Consumption (3months),InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit,Buy To StockSet,ByTank,revised To Buy,stock included Buy,Aveage ForeCast Consumption,current Chemical Demand,InHouse vs. curOrders,InHouse vs. oneMonth
39,104749.0,ISOLAC BRUNO  ROSSO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE BROWN""",70.0,10.0,0.0,-,450.0,21.0,25.0,21.0,16.0,23.6,5.3,23.6,0.0,0.0,,,20.0,9.0,462.0,451.0
40,105592.0,SHADE BROWN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70.0,10.0,0.0,-,0.0,9.0,0.0,0.0,,,5.3,0.0,0.0,0.0,,,,0.0,9.0,
41,104538.0,BUTILGLICOLE,SAMCHEM,D,-,-,14.0,188.0,0.0,-,0.0,0.0,0.0,0.0,,,3.5,0.0,0.0,0.0,,,,0.0,0.0,
42,105282.0,BUTYL CELLOSOLVE (BCS),SAMCHEM,D,-,ve sinh kela,14.0,188.0,0.0,-,0.0,188.0,0.0,31.0,63.0,5.9,3.5,5.9,0.0,0.0,,,32.0,0.0,188.0,156.0
43,104689.0,CERANIL D 1188,SAMIA,O,-,-,65.0,1.0,0.0,-,0.0,0.0,0.0,0.0,,,5.2,0.0,0.0,0.0,,,,0.0,0.0,
44,104786.0,CERA ST,GSC ITALY,O,COMPOUND,THUNDER art,70.0,50.0,0.0,-,50.0,0.0,0.0,0.0,,,5.3,0.0,0.0,0.0,,,,0.0,50.0,
45,105153.0,FYL WAX CERA ST,GSC ITALY,O,-,THUNDER,70.0,50.0,0.0,-,0.0,0.0,0.0,0.0,,,5.3,0.0,0.0,0.0,,,,0.0,0.0,
46,104541.0,CICLOESANONE *,Samchem,D,COMPOUND,EFF - FISS nitro,14.0,190.0,0.0,-,2850.0,318.0,694.0,547.0,576.0,5.0,3.5,5.0,0.0,0.0,,,635.0,399.0,2769.0,2533.0
47,104690.0,DC65,NG?C LAN,D,COMPOUND,"EFF water: GRETNA TT,HILLIARD TT, FLORIDA,JAVILLE TT",14.0,120.0,0.0,-,120.0,99.0,2.0,10.0,2.0,109.5,3.5,109.5,0.0,0.0,,,2.0,0.0,219.0,217.0
48,104787.0,DERMATOP TP,GSC ITALY,O,-,-,70.0,50.0,0.0,-,0.0,0.0,0.0,0.0,,,5.3,0.0,0.0,0.0,,,,0.0,0.0,
49,104773.0,TO-VI-97,GSC ITALY,O,COMPOUND,"Emulsione Light, NCC ?ã ??i tên thành (WASSERLAC 77 ACB)",70.0,110.0,1430.0,NaT::1430.0,2750.0,496.0,455.0,555.0,477.0,7.0,5.3,10.0,0.0,0.0,,,466.0,96.0,3150.0,2780.0
50,105179.0,WASSERLAC 77 ACB,GSC ITALY,O,-,"Emulsione Light,Tên m?i c?a TO-VI-97",70.0,110.0,0.0,-,0.0,0.0,0.0,0.0,,,5.3,0.0,0.0,0.0,,,,0.0,0.0,
51,104780.0,EUDERM MATT SN2,LANSESS,O,-,to make the transfer article Hermes from Itumbiara to VN.,26.0,120.0,0.0,-,0.0,0.0,0.0,0.0,,,3.9,0.0,0.0,0.0,,,,0.0,0.0,
52,104926.0,TOP 100 M,GSC ITALY,O,COMPOUND,NCC ?ã ??i tên thành (DERMATOP DULL S),70.0,120.0,480.0,NaT::480.0,360.0,103.0,307.0,98.0,104.0,2.2,5.3,4.6,144.20000000000005,1.2,,,206.0,35.0,428.0,257.0
53,105176.0,DERMATOP DULL S,GSC ITALY,O,-,Tên m?i c?a TOP 100 M,70.0,120.0,0.0,-,360.0,0.0,0.0,0.0,,,5.3,0.0,0.0,0.0,,,,0.0,360.0,
54,104965.0,RODA LINK C/70,TFL,O,COMPOUND,cross linker,83.0,10.0,0.0,-,2040.0,148.0,347.0,314.0,314.0,6.6,5.8,6.6,0.0,0.0,,,330.0,124.0,2064.0,1858.0
55,104939.0,AQUAFIX LUCID 555,GSC,O,COMPOUND,NCC ?ã ??i tên thành (AQ SYSTEM 555 LUX),70.0,120.0,0.0,-,0.0,39.0,2498.0,2302.0,1975.0,0.0,5.3,0.0,11850.8,98.8,,,2236.0,457.0,-418.0,-2197.0
56,105150.0,AQ SYSTEM 555 LUX,GSC,O,-,Tên m?i c?a AQUAFIX LUCID 555,70.0,120.0,8640.0,2023-02-05::1200.0|||2023-02-26::600.0|||NaT::3000.0|||NaT::3840.0,4080.0,1095.0,0.0,183.0,367.0,28.1,5.3,75.1,0.0,0.0,,,184.0,0.0,5175.0,4991.0
57,105021.0,EXP AQUAFIX 1016,GSC,O,-,"TIP,BONO, VANILE,CAPE TOWN TIP,DAKOTA TIP / replace with 555",70.0,120.0,0.0,-,0.0,0.0,0.0,0.0,,,5.3,0.0,0.0,0.0,,,,0.0,0.0,
58,105086.0,EX WT 43 051,STAHL(Singapore),O,COMPOUND,"Fis Baltimora,FISS art: ANGKOR,CAPITAL,TAMPA,FARO,ALINE K TT HP,GABLES,SAHARA, NOKOR, AZORES,MERO",25.0,110.0,6890.0,2023-02-12::770.0|||2023-02-12::4620.0|||NaT::1500.0,0.0,58.0,1712.0,1366.0,2062.0,0.0,3.8,3.7,188.69999999999933,1.7,,,1887.0,1182.0,-1124.0,-1829.0
59,104555.0,FI-70-306,STAHL(Singapore),O,COMPOUND,"FISS art: Vintage, EFF Deco/Lux, EFF Classic TT",25.0,55.0,110.0,NaT::110.0,330.0,68.0,314.0,155.0,135.0,1.8,3.8,2.3,336.0,6.1,,,224.0,196.0,202.0,174.0
60,104512.0,Melio Wax AL-03,Stahl Singapore,O,-,"WAX DECO&CLASSIC, FISS1 VINTAGE",23.0,60.0,0.0,-,0.0,0.0,0.0,0.0,,,3.8,0.0,0.0,0.0,,,,0.0,0.0,
61,104805.0,CONTEX FUCHSIA,SAMIA,O,PIGMENT,-,70.0,120.0,0.0,-,0.0,0.0,2.0,1.0,,,5.3,0.0,0.0,0.0,,,,8.0,-8.0,
62,105462.0,OPERA RUBINO,GSC,O,PIGMENT,GSC pigment,70.0,120.0,0.0,-,1560.0,128.0,50.0,14.0,15.0,52.8,5.3,52.8,0.0,0.0,,,32.0,10.0,1678.0,1656.0
