,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,,
42,105282,BUTYL CELLOSOLVE (BCS),SAMCHEM,D,-,ve sinh kela,14,188, -   ,-, 188 , -   , 125 , 63 , 125 , -   , 1.50 , 2.47 , 1.50 , -   , -   ,,, -   , -   ,188 ,188 ,,
43,104689,CERANIL D 1188,SAMIA,O,-,-,65,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.17 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
44,104786,CERA ST,GSC ITALY,O,COMPOUND,THUNDER art,80,50, -   ,-, -   , 46 , -   , -   ,, 4 ,#DIV/0!, 4.67 ,#DIV/0!, -   , -   ,,, -   , -   ,46 ,46 ,,
45,105153,FYL WAX CERA ST,GSC ITALY,O,-,THUNDER,80,50, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.67 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
46,104541,CICLOESANONE *,Samchem,D,COMPOUND,EFF - FISS nitro,14,190, -   ,-," 1,520 ", 122 , 806 , 597 , 655 , 930 ,2,2.5, 2.00 , 403 , 2.1 ,,, 806 , 547 ,"1,095 ",836 ,,
47,104690,DC65,NG?C LAN,D,COMPOUND,"EFF water: GRETNA TT,HILLIARD TT, FLORIDA,JAVILLE TT",14,120, -   ,-, 120 , 99 , 1 , 8 , 1 , -   , 219.00 ,2.5, 219.00 , -   , -   ,,, 2 , -   ,219 ,217 ,,
48,104787,DERMATOP TP,GSC ITALY,O,-,-,80,50, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.67 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
49,104773,TO-VI-97,GSC ITALY,O,COMPOUND,"Emulsione Light, NCC ?ã ??i tên thành (WASSERLAC 77 ACB)",80,110," 1,650 ",NaT::1650.0," 1,870 ", 237 , 529 , 569 , 481 , 807 ,4,4.7, 7.12 , -   , -   ,,, 529 , 137 ,"1,970 ","1,578 ",,
50,105179,WASSERLAC 77 ACB,GSC ITALY,O,-,"Emulsione Light,Tên m?i c?a TO-VI-97",80,110, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.67 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
51,104780,EUDERM MATT SN2,LANSESS,O,-,to make the transfer article Hermes from Itumbiara to VN.,26,120, -   ,-, -   , -   , -   , -   ,, 60 ,#DIV/0!, 2.87 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
52,104926,TOP 100 M,GSC ITALY,O,COMPOUND,NCC doi ten thanh (DERMATOP DULL S),80,120, -   ,-, 120 , 108 , 230 , 110 , 106 , 131 ,1,4.7, 1.00 , 851 , 7.1 ,,, 230 , 50 ,178 ,(2),,
53,105176,DERMATOP DULL S,GSC ITALY,O,-,ten moi TOP 100 M,80,120, 960 ,2023-04-13::480.0|||2023-04-24::480.0, 360 , -   , -   , -   ,, -   ,#DIV/0!, 4.67 ,#DIV/0!, -   , -   ,,, -   , -   ,360 ,360 ,,
54,104965,RODA LINK C/70,TFL,O,COMPOUND,cross linker,85,10," 1,880 ",2023-03-14::500.0|||NaT::630.0|||NaT::750.0," 1,370 ", 231 , 383 , 307 , 321 , 522 ,4.2,4.8, 9.11 , -   , -   ,,, 383 , 243 ,"1,358 ","1,218 ",,
55,104939,AQUAFIX LUCID 555,GSC,O,COMPOUND,NCC da doi ten thanh (AQ SYSTEM 555 LUX),70,120, -   ,-, -   , 39 ," 2,950 "," 1,913 "," 1,268 ", -   ,0,4.3, -   ," 12,685 ", 105.7 ,,," 2,950 "," 1,069 ","(1,030)","(2,911)",,
56,105150,AQ SYSTEM 555 LUX,GSC,O,-,ten moi cua AQUAFIX LUCID 555,70,120," 9,840 ",2023-04-15::3000.0|||2023-04-19::3840.0|||NaT::3000.0, 240 , 543 ," 1,456 ", 728 ," 1,456 "," 3,728 ", 0.54 , 4.33 , 7.30 , -   , -   ,,, -   , -   ,783 ,783 ,,
57,105021,EXP AQUAFIX 1016,GSC,O,-,"TIP,BONO, VANILE,CAPE TOWN TIP,DAKOTA TIP / replace with 555",70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.33 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
58,105086,EX WT 43 051,STAHL Singapore,O,COMPOUND,"Fis Baltimora,FISS art: ANGKOR,CAPITAL,TAMPA,FARO,ALINE K TT HP,GABLES,SAHARA, NOKOR, AZORES,MERO",25,110," 5,390 ",NaT::1650.0|||NaT::1540.0|||NaT::2200.0, 990 , 242 ," 1,981 "," 1,538 "," 2,120 "," 1,942 ",0.6,2.8, 3.32 , -   , -   ,,," 1,981 "," 2,149 ",(917),(749),,
59,104555,FI-70-306,STAHL Singapore,O,COMPOUND,"FISS art: Vintage, EFF Deco/Lux, EFF Classic TT",25,55, 440 ,NaT::440.0, 55 , 161 , 295 , 169 , 184 , 263 ,0.7,2.8, 2.19 , 177 , 3.2 ,,, 295 , 75 ,141 ,(79),,
60,104512,Melio Wax AL-03,STAHL Singapore,O,-,"WAX DECO&CLASSIC, FISS1 VINTAGE",23,60, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 2.77 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
61,104805,CONTEX FUCHSIA,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!, 4.83 ,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,
