,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size,  Intransit  ,Intransit_Notes,  Stock_CH01  ,  Stock_CH10  ,,, monthly Chemical Forecast ,  monthly Consumption (6months)  ,  monthly Consumption (3months)  ,  Consumption on Current Month  ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit,  Buy To StockSet  ,  ByTank  ,  revised To Buy  ,  stock included Buy  ,  Aveage ForeCast Consumption  ,  current Chemical Demand  ,InHouse vs. curOrders,InHouse vs. oneMonth,
35,105043,SAMIANIL CB BRUNO RP,SAMIA,O,COMPOUND,"xai het khong mua nua, chuyen qua mua Sella derm Brown",70,25,  -    ,-,  -    , 13 ,, 7 ,7, 1 , 2 , 6 ,1.9,4.3,1.9, 17 , 0.7 ,,, 7 , 3 ,10,6,
36,105546,SELLA DERM BROWN M2,TFL Italy,O,COMPOUND,"pigment EFF nitro, KELA",83,25,  -    ,-, 75 , 14 ,,  -    , -   , 3 , 2 , -   ,89,0,89,  -    ,  -    ,,,  -    ,  -    ,89,89,
37,104748,ISOLAC BRUNO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE TAN""",70,10, 80 ,2023-04-13::80.0, 90 , 39 ,, 9 ,9, 9 , 8 , 1 ,14.3,4.8,23.2,  -    ,  -    ,,, 9 , 10 ,119,120,
38,105591,SHADE TAN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10,  -    ,-,  -    , 6 ,,  -    , -   ,  -    ,,  -    ,6,0,6,  -    ,  -    ,,,  -    ,  -    ,6,6,
39,104749,ISOLAC BRUNO  ROSSO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE BROWN""",70,10,  -    ,-, 380 , 59 ,, 38 ,38, 22 , 23 , 7 ,11.6,4.8,11.6,  -    ,  -    ,,, 38 , 14 ,425,401,
40,105592,SHADE BROWN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10,  -    ,-,  -    , 9 ,,  -    , -   ,  -    ,,  -    ,9,0,9,  -    ,  -    ,,,  -    ,  -    ,9,9,
41,104538,BUTILGLICOLE,SAMCHEM,D,-,-,14,188,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
42,105282,BUTYL CELLOSOLVE (BCS),SAMCHEM,D,-,ve sinh kela,14,188,  -    ,-,  -    ,  -    ,,  -    , -   , 63 , 125 ,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
43,104689,CERANIL D 1188,SAMIA,O,-,-,65,1,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
44,104786,CERA ST,GSC ITALY,O,COMPOUND,THUNDER art,70,50,  -    ,-,  -    , 46 ,,  -    , -   ,  -    ,, 4 ,46,0,46,  -    ,  -    ,,,  -    ,  -    ,46,46,
