,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size,  Intransit  ,Intransit_Notes,  Stock_CH01  ,  Stock_CH10  ,,, monthly Chemical Forecast ,  monthly Consumption (6months)  ,  monthly Consumption (3months)  ,  Consumption on Current Month  ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit,  Buy To StockSet  ,  ByTank  ,  revised To Buy  ,  stock included Buy  ,  Aveage ForeCast Consumption  ,  current Chemical Demand  ,InHouse vs. curOrders,InHouse vs. oneMonth,
196,104858,ISO PROPYLIC ALCOHOL,RIVERBANK,D,COMPOUND,"DYECOAT-BUENA, Fleshside",14,160,  -    ,-, 320 , 11 ,, 44 ,44, 133 , 190 , 142 ,7.5,2.5,7.5,  -    ,  -    ,,, 44 , 89 ,242,287,
197,104983,RECAPUR FIX TVN3,,O,-,-,0,1,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
198,100413,MELIO FOAM AX-03,STAHL Singapore,O,COMPOUND,add on FONDO FOAM,25,50, 300 ,NaT::150.0|||2023-03-09::150.0, 100 , 46 ,, 286 ,286, 103 , 136 , 50 ,0.5,2.8,1.6, 343 , 6.9 ,,, 286 , 161 ,-15,-140,
199,104877,CRX S 75 / NT,GSC ITALY,O,COMPOUND,cross linker,70,10, 300 ,2023-04-13::300.0," 1,290 ", 175 ,, 399 ,399, 292 , 303 , 118 ,3.7,4.3,4.4,  -    ,  -    ,,, 399 , 143 ,"1,322","1,066",
200,105256,XR-5525,STAHL Singapore,O,-,-,70,5,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
201,105659,EX-XR-55-250 ,STAHL Singapore,O,COMPOUND,cross linker,70,5,  -    ,-, 40 , 27 ,, 9 ,9, 6 , 4 ,  -    ,7.4,4.3,7.4,  -    ,  -    ,,, 9 , 5 ,62,58,
202,104662,ANTISCHIUMA ANZ 130,MAGNABOSCO,O,-,-,70,1000,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
203,104390,SUPRONIL HK BLACK AS,STAHL Germany,O,COMPOUND,(Daniele)we can replace  with the new ones,80,30,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
204,105045,SAMIANIL CB NERO RP,SAMIA,O,COMPOUND,This chemical will be applied on leather flesh side to use color that is in stock for long time (green,70,1,  -    ,-, 330 , 27 ,, 11 ,11, 5 , 7 , 5 ,32.5,4.3,32.5,  -    ,  -    ,,, 11 , 4 ,353,346,
205,105124,SUPRONIL BLACK LD-5915,STAHL Germany,O,-,-,80,1,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
206,104962,RODA LEVELLER B-LM,TFL,O,COMPOUND,add on FISS water,83,120,  -    ,-, 840 , 80 ,, 87 ,87, 90 , 74 , 21 ,10.6,4.8,10.6,  -    ,  -    ,,, 87 , 62 ,858,833,
207,104902,SAMIACEL MACCHIA 3338,SAMIA,O,COMPOUND,-,70,50,  -    ,-,  -    ,  -    ,, 283 ,283,  -    ,,  -    ,0,4.3,0," 1,217 ", 24.3 ,,, 283 , 217 ,-217,-283,
208,105534,SAMIACEL MACCHIA 3338 ET,SAMIA,O,-,KELA,70,50,  -    ,-, 500 , 185 ,,  -    , -   , 192 , 244 , 61 ,685,0,685,  -    ,  -    ,,,  -    ,  -    ,685,685,
209,104882,SMITFIX RL 9492,SMIT FINISHING,O,-,MALDONADO  LUX,85,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
210,104497,RODA WAX KCF 638,-,O,COMPOUND,-,0,1,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
211,104946,RODA KCF 684,TFL LEDERTECHNIK GMBH,O,COMPOUND,"KARMA/TUNDRA, THUNDER",83,120,  -    ,-,  -    , 217 ,,  -    , -   ,  -    ,,  -    ,217,0,217,  -    ,  -    ,,,  -    ,  -    ,217,217,
212,105402,ICALAC SB1 MATT,ICAP,O,-,"FISS Ellington, BENFICA, CARUSO,VISEU",83,23,  -    ,-," 1,771 ", 14 ,,  -    , -   , 69 , 82 , 9 ,1785,0,1785,  -    ,  -    ,,,  -    ,  -    ,"1,785","1,785",
213,104572,ICALAC SB 215,ICAP,O,COMPOUND,"FISS Ellington, BENFICA, CARUSO,VISEU",83,110,  -    ,-," 3,740 ", 50 ,, 348 ,348, 304 , 331 , 5 ,10.9,4.8,10.9,  -    ,  -    ,,, 348 , 69 ,"3,721","3,442",
214,105084,GEALUX QT,Getti Brazil ,O,COMPOUND,"TATO Milling  Ellington, BENFICA, CARUSO",68,120,  -    ,-," 1,100 ", 98 ,, 73 ,73, 60 , 61 , 6 ,16.4,4.3,16.4,  -    ,  -    ,,, 73 , 18 ,"1,180","1,125",
215,104842,RODA CARE NC,-,O,-,-,0,1,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
216,104846,RODA FEEL N 4,TFL,O,COMPOUND,"Fiss Baltimora, Tatto Milling ",83,60," 2,880 ",2023-03-27::1200.0|||2023-03-14::300.0|||NaT::1080.0|||NaT::300.0,  -    , 110 ,," 1,086 ",1086, 584 , 665 , 250 ,0.1,4.8,2.8," 2,172 ", 36.2 ,,," 1,086 ", 581 ,-471,-976,
217,104847,RODA FEEL S 2081,TFL,O,COMPOUND, FISS water & nitro (1 s? article),83,25,  -    ,-, 375 , 113 ,, 28 ,28, 33 , 20 , 3 ,17.4,4.8,17.4,  -    ,  -    ,,, 28 , 25 ,463,460,
218,100047, Rosilk 2229 Feel Modifier,TFL Brazil,O,-,backup for RODA FEEL S 2081,83,25,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
219,104852,RU 74-987,STAHL Singapore,O,-,-,80,110,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
220,104870,WT-48-459,-,O,-,-,0,1,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
221,104900,NOVA EXP 2052/NF,-,O,-,-,0,1,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
222,104905,FOAM A 10,-,O,-,-,0,100,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
223,104911,ISOLAC FINISH 2081,-,O,-,-,0,50,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
224,105020,BASEMASK 5755/T2,SMIT FINISHING S.P.A,O,-,ch?y BASEMASK,70,40," 1,920 ",2023-04-13::1920.0," 1,600 ", 375 ,,  -    , -   , 500 , 586 , 405 ,1975,0,3895,  -    ,  -    ,,,  -    ,  -    ,"1,975","1,975",
225,105027,RODA TEC AW,TFL,O,COMPOUND,"Fiss Baltimora (art ALINE K TT, BALI….)",83,120," 2,400 ",2023-03-14::2400.0," 2,280 ", 189 ,," 1,445 ",1445, 844 , 814 , 287 ,1.7,4.8,3.4," 2,023 ", 16.9 ,,," 1,445 ", 789 ,"1,680","1,024",
226,105025,RODA BASE AF-B,TFL,O,-,"RIM HERCULES,FON CAPRI",83,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
227,105559,RODA BASE AF-B/N,TFL,O,COMPOUND,"RIM  AJAX TT,HERCULES,FON CAPRI",83,120,  -    ,-," 1,560 ", 117 ,, 287 ,287, 120 , 71 , 3 ,5.8,4.8,5.8,  -    ,  -    ,,, 287 ,  -    ,"1,677","1,390",
228,105026,RODA FIX 6271/C,TFL,O,-,-,83,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
229,101261,EUDERM NAPPA SOFT S2-A,TFL Italy,O,COMPOUND,"Bowie/Viseu / Ellington lux TT & K TT,MALTESSE, VENEZA LUX",83,115," 1,200 ",2023-03-14::1200.0," 2,880 ", 90 ,, 990 ,990, 561 , 566 , 33 ,3,4.8,4.2, 594 , 5.2 ,,, 990 , 111 ,"2,859","1,980",
230,100041,PRIMAL SB-100,LANXESS,O,-,"Bowie / Ellington lux TT & K TT,TAB,MALTESSE",25,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
231,105614,PRIMAL LH-100,LANXESS,O,-,"Bowie / Ellington lux TT & K TT,TAB,MALTESSE",25,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
232,105655,PRIMAL LH 500 ,TFL Brazil,O,COMPOUND,"Bowie/Viseu / Ellington lux TT & K TT,MALTESSE, VENEZA LUX",83,120,  -    ,-," 14,000 ", 188 ,," 2,256 ",2256," 1,289 "," 1,287 ", 70 ,6.3,4.8,6.3,  -    ,  -    ,,," 2,256 ", 253 ,"13,935","11,932",
233,104221,PRIMAL SB-150,LANXESS,O,-,"PRE HERCULES,Bowie / Ellington lux TT & K TT, TAB,MALTESSE",25,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
234,105615,PRIMAL LH-150,LANXESS,O,-,"Bowie / Ellington lux TT & K TT, TAB,MALTESSE",25,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
235,105656,PRIMAL LH 550,TFL Brazil,O,COMPOUND,"PRE HERCULES, AJAX TT,Bowie/Viseu / Ellington lux TT & K TT, TAB,MALTESSE, GOBIEW, VENEZA LUX",83,120,  -    ,-," 11,000 ", 890 ,," 1,177 ",1177, 743 , 671 , 46 ,10.1,4.8,10.1,  -    ,  -    ,,," 1,177 ", 129 ,"11,761","10,713",
236,105008,BINDER M-RI 99,GSC GROUP S.P.A,O,COMPOUND,"RIM (white color), EF HERCULES,  AJAX TT, EFF BONO TT TIP,TORONTO TAB)",70,120," 3,840 ",2023-04-02::3840.0," 5,000 "," 1,149 ",," 1,915 ",1915," 1,378 "," 1,166 ", 12 ,3.2,4.3,5.2,  -    ,  -    ,,," 1,915 "," 1,173 ","4,976","4,234",
237,104959,EX-LS-64-468,STAHL Singapore,O,COMPOUND,BUY MORE 225,25,25, 100 ,NaT::100.0, 100 , 55 ,,  -    , -   , 127 , 173 , 11 ,155,0,255,  -    ,  -    ,,,  -    ,  -    ,155,155,
238,104706,AQUABASE HF LIQ,STAHL Germany,O,-,-,80,90,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
239,105127,BIOTHANE UW 6522,ORCHID CHEM (NG?C LAN),D,-,Tipshine,14,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
240,105167,Aquabase HP ,Stahl ,O,-,"STUCCO BY GEMATA=> xài h?t không mua n?a, chuy?n qua xài RODA CARE 5754",70,75,  -    ,-,  -    ,  -    ,,  -    , -   ," 1,691 ", 7 ,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
241,105658,AQUABASE UPH,Stahl ,O,-,STUCCO BY GEMATA=> check stock RODA CARE 5754 và check l?i v?i Technician ??i qua AQUABASE UPH (n?u ??i thì báo Singapore tr??c 3 tháng ?? keep stock và mua t?i Singapore),70,75,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
242,104910,RODA CARE 5754,TFL,O,-,STUCCO BY GEMATA=> check stock và check l?i v?i Technician ??i qua AQUABASE UPH (n?u ??i thì báo Singapore tr??c 3 tháng ?? keep stock và mua t?i Singapore),83,70,  -    ,-," 17,500 "," 2,025 ",,  -    , -   ," 2,455 "," 4,410 "," 1,219 ",19525,0,19525,  -    ,  -    ,,,  -    ,  -    ,"19,525","19,525",
243,105218,FOUNDER ROLLER 2515 ,SAMIA,O,-,-,80,40,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
244,105126,ANTIFOAM NS-165,Vina Hào D??ng,D,COMPOUND,"add on FISS water, Basemask 5755",14,25,  -    ,-,  -    , 86 ,, 3 ,3, 7 , 6 , 1 ,28.7,2.5,28.7,  -    ,  -    ,,, 3 ,  -    ,86,83,
245,105173,SMITFIX G 9631,SMIT FINISHING S.P.A,O,COMPOUND,"Tên article có TIP : ROSSINI TT TIP,BRAZOS,SAPPA,PASKOA, BY CAST TIP,TORONTO TIP, ROCKPOINT TIP,EMO TIP,TSING,XANTUM",70,120,  -    ,-," 14,880 ", 533 ,, 226 ,226, 193 , 117 , 2 ,68.2,4.3,68.2,  -    ,  -    ,,, 226 , 49 ,"15,364","15,187",
246,105175,SMITFIX G 9633,SMIT FINISHING S.P.A,O,COMPOUND,"Tên Article có TIP,  TIPSHINE BY HAND & MILLIPUNTE",70,120,  -    ,-," 8,520 ", 87 ,, 95 ,95, 78 , 30 ,  -    ,90.6,4.3,90.6,  -    ,  -    ,,, 95 , 6 ,"8,601","8,512",
247,105600,EX-WT-35-703,STAHL Germany,O,COMPOUND,FISS ANKUR K TT,83,120,  -    ,-, 120 , 60 ,, 31 ,31, 57 , 97 ,  -    ,5.8,4.8,5.8,  -    ,  -    ,,, 31 ,  -    ,180,149,
248,105080,RODA CARE HB,TFL,O,COMPOUND,PRE HERCULES,83,100,  -    ,-,  -    ,  -    ,, 75 ,75,  -    ,,  -    ,0,4.8,0, 360 , 3.6 ,,, 75 ,  -    ,0,-75,
249,105516,RODA CARE HB-B,TFL,O,-,"PRE HERCULES, AJAX TT",83,100,  -    ,-," 2,100 ", 53 ,,  -    , -   , 129 , 80 ,  -    ,2153,0,2153,  -    ,  -    ,,,  -    ,  -    ,"2,153","2,153",
250,105255,MA-22-617,STAHL Spain,O,COMPOUND,"EF HERCULES, AJAX TT",71,25,  -    ,-, 750 , 41 ,, 4 ,4, 8 , 7 ,  -    ,197.8,4.4,197.8,  -    ,  -    ,,, 4 ,  -    ,791,787,
251,105393,RODA FEEL KTA 950,TFL,O,COMPOUND,"FIS HERCULES, AJAX TT, FLESH SIDE , Tatto Milling",83,25,  -    ,-, 875 , 118 ,,  -    , -   , 91 , 98 , 22 ,993,0,993,  -    ,  -    ,,,  -    ,  -    ,993,993,
252,105012,RODA FEEL KTA 950 BR ,TFL,O,COMPOUND,"FIS HERCULES, KELA FLESH SIDE BONO TT TIP",83,30,  -    ,-,  -    ,  -    ,, 286 ,286,  -    ,,  -    ,0,4.8,0," 1,373 ", 45.8 ,,, 286 , 245 ,-245,-286,
253,105203,RODA FIX 6306,TFL Brazil,O,COMPOUND,"FIS HERCULES, AJAX TT",83,200,  -    ,-," 1,800 ", 125 ,, 41 ,41, 99 , 86 ,  -    ,47,4.8,47,  -    ,  -    ,,, 41 ,  -    ,"1,925","1,884",
254,105059,RODA FEEL S 2075-BR,TFL,O,COMPOUND,"ch?t này gi?ng RODA FEEL S 2075 , MILLING HERCULES, AJAX TT",83,10,  -    ,-, 40 ,  -    ,, 3 ,3,  -    ,,  -    ,13.3,4.8,13.3,  -    ,  -    ,,, 3 ,  -    ,40,37,
255,104949,RODA BASE RECO 3,TFL,O,COMPOUND,"PRE-CAPRI, ANKUR K TT",83,120,  -    ,-, 480 , 87 ,, 102 ,102, 30 , 33 ,  -    ,5.6,4.8,5.6,  -    ,  -    ,,, 102 ,  -    ,567,465,
256,105349,RODA FEEL S 2075,TFL,O,-,"ch?t này gi?ng RODA FEEL S 2075-BR , MILLING HERCULES, AJAX TT",83,120, 125 ,2023-03-14::25.0|||NaT::100.0, 25 , 18 ,,  -    , -   , 1 , 1 ,  -    ,43,0,168,  -    ,  -    ,,,  -    ,  -    ,43,43,
257,104951,SMITFIX RL 9549,SMIT FINISHING S.P.A,O,-,July08-Alan:Place an order for 360kg 9549 ASAP-cancel,83,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
258,105492,SELLA DERM YELLOW M2,TFL,O,COMPOUND,"pigment SIENA, EF WATER",83,25,  -    ,-, 50 , 17 ,, 5 ,5, 9 , 7 , 6 ,13.4,4.8,13.4,  -    ,  -    ,,, 5 , 1 ,66,62,
259,104978,DARKWAX 6G,GSC,O,COMPOUND,THUNDER,70,120,  -    ,-, 240 , 120 ,,  -    , -   ,  -    ,,  -    ,360,0,360,  -    ,  -    ,,,  -    ,  -    ,360,360,
260,105158,FYL WAX 6G,GSC,O,-,THUNDER,70,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
261,105547,SELLA DERM LIGHT BLUE M2,TFL Italy,O,COMPOUND,pigment SIENA,83,25,  -    ,-, 25 , 6 ,, 2 ,2, 1 ,  -    , -   ,15.5,4.8,15.5,  -    ,  -    ,,, 2 ,  -    ,31,29,
262,105548,SELLA DERM FUCSIA M2,TFL Italy,O,COMPOUND,pigment SIENA,83,25,  -    ,-,  -    , 10 ,,  -    , -   , 1 , 1 , -   ,10,0,10,  -    ,  -    ,,,  -    ,  -    ,10,10,
263,105549,SELLA DERM ARANCIO M2,TFL Italy,O,COMPOUND,pigment SIENA ( không mua n?a khi nào h?t s? xài DHL ORANGE),83,25, 25 ,NaT::25.0,  -    , 3 ,, 2 ,2, 3 , 3 , -   ,1.5,4.8,14,  -    ,  -    ,,, 2 , 1 ,2,1,
264,105409,RODA GROUND RECO 5,TFL Italy,O,COMPOUND,SIENA,83,120,  -    ,-," 13,440 ", 120 ,, 222 ,222, 110 , 37 , 56 ,61.1,4.8,61.1,  -    ,  -    ,,, 222 , 37 ,"13,523","13,338",
265,105545,RODA WAX 4092,TFL Italy,O,COMPOUND,SIENA,83,110,  -    ,-," 2,750 ", 49 ,, 74 ,74, 34 , 9 , 17 ,37.8,4.8,37.8,  -    ,  -    ,,, 74 , 12 ,"2,787","2,725",
266,105369,RODA PUR ADX,TFL Italy,O,COMPOUND,SIENA,83,120,  -    ,-," 2,640 ", 181 ,, 51 ,51, 25 , 9 , 12 ,55.3,4.8,55.3,  -    ,  -    ,,, 51 , 9 ,"2,812","2,770",
267,104944,RODA OIL KCF 673,TFL Italy,O,COMPOUND,SIENA,83,110,  -    ,-," 4,510 ", 135 ,, 502 ,502, 87 , 28 , 35 ,9.3,4.8,9.3,  -    ,  -    ,,, 502 , 83 ,"4,562","4,143",
268,105063,FI 18988,STAHL,O,-,SIENA,70,25,  -    ,-,  -    , 15 ,,  -    , -   , 1 , 3 ,  -    ,15,0,15,  -    ,  -    ,,,  -    ,  -    ,15,15,
269,105560,RODA FIX 5792/N2,TFL Italy,O,-,-,83,120,  -    ,-, 120 , 78 ,,  -    , -   ,  -    ,,  -    ,198,0,198,  -    ,  -    ,,,  -    ,  -    ,198,198,
270,105621,RODA WAX KCF 604/N,TFL Italy,O,COMPOUND,SIENA,83,120, 240 ,NaT::240.0," 2,520 ", 69 ,, 518 ,518, 266 , 89 , 137 ,5,4.8,5.5,  -    ,  -    ,,, 518 , 87 ,"2,502","2,071",
271,105626,NNXC R-16L,,O,-,sample-Shippiment Brazil to JBS Vietnan,83,30,  -    ,-," 1,060 ",  -    ,,  -    , -   ,  -    ,,  -    ,1060,0,1060,  -    ,  -    ,,,  -    ,  -    ,"1,060","1,060",
272,105685,PRIMEX 2293,GSC,O,-,sample-Chemicals for Chamois and Maestro ,70,5,  -    ,-, 5 ,  -    ,,  -    , -   ,  -    ,,  -    ,5,0,5,  -    ,  -    ,,,  -    ,  -    ,5,5,
273,105193,ADDITIVE LIV 2455/2,GSC,O,-,sample-Chemicals for Chamois and Maestro ,83,5,  -    ,-, 5 ,  -    ,,  -    , -   ,  -    ,,  -    ,5,0,5,  -    ,  -    ,,,  -    ,  -    ,5,5,
274,105684,FYL WAX 2500,GSC,O,-,sample-Chemicals for Chamois and Maestro ,83,10,  -    ,-, 10 ,  -    ,,  -    , -   ,  -    ,,  -    ,10,0,10,  -    ,  -    ,,,  -    ,  -    ,10,10,
275,105682,FYL WAX 69,GSC,O,-,sample-Chemicals for Chamois and Maestro ,83,50,  -    ,-, 120 ,  -    ,,  -    , -   ,  -    ,,  -    ,120,0,120,  -    ,  -    ,,,  -    ,  -    ,120,120,
276,105638,PEVIT XVS 5491,GSC,O,-,Chemicals for Chamois and Maestro ,83,1,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
277,104930,RODA PUR WX,TFL,O,-,sample-Chemicals for Chamois and Maestro ,83,1,  -    ,-,  -    , 66 ,,  -    , -   , 2 , 4 ,  -    ,66,0,66,  -    ,  -    ,,,  -    ,  -    ,66,66,
278,,ISOLAC FUCSIA LP,GSC,O,-,Chemicals for Chamois and Maestro ,83,1,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
279,105612,SHADE FUXIA/EJ,GSC,O,-,-,83,10,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
280,104948,RODA WAX 6311,TFL Brazil,O,-,-,83,120, 240 ,2023-04-26::240.0,  -    , 34 ,,  -    , -   , 16 , 4 ,  -    ,34,0,274,  -    ,  -    ,,,  -    ,  -    ,34,34,
281,105079,RODA CARE CE/N2,TFL Italy,O,-,-,83,80," 1,200 ",NaT::1200.0,  -    , 80 ,,  -    , -   ,  -    ,,  -    ,80,0,1280,  -    ,  -    ,,,  -    ,  -    ,80,80,
