,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
48,104787,DERMATOP TP,GSC ITALY,O,-,-,70,50, -   ,-, -   , -   , -   , -   ,, -   ,,4.3,0, -   , -   ,,,, -   ,0,,
49,104773,TO-VI-97,GSC ITALY,O,COMPOUND,"Emulsione Light, NCC ?ã ??i tên thành (WASSERLAC 77 ACB)",70,110, -   ,-," 2,420 ", 409 , 436 , 569 , 481 , 85 ,6.2,4.3,6.2, -   , -   ,,, 458 , 211 ,"2,618","2,371",
50,105179,WASSERLAC 77 ACB,GSC ITALY,O,-,"Emulsione Light,Tên m?i c?a TO-VI-97",70,110, -   ,-, -   , -   , -   , -   ,, -   ,,4.3,0, -   , -   ,,,, -   ,0,,
51,104780,EUDERM MATT SN2,LANSESS,O,-,to make the transfer article Hermes from Itumbiara to VN.,26,120, -   ,-, -   , -   , -   , -   ,, -   ,,2.9,0, -   , -   ,,,, -   ,0,,
52,104926,TOP 100 M,GSC ITALY,O,COMPOUND,NCC doi ten thanh (DERMATOP DULL S),70,120, -   ,-, 240 , 90 , 256 , 110 , 106 , 29 ,1.8,4.3,1.8, 453 , 3.8 ,,, 181 , 43 ,287,149,
53,105176,DERMATOP DULL S,GSC ITALY,O,-,ten moi TOP 100 M,70,120, 960 ,2023-04-11::480.0|||NaT::480.0, 360 , -   , -   , -   ,, -   ,,4.3,0, -   , -   ,,,, -   ,360,,
54,104965,RODA LINK C/70,TFL,O,COMPOUND,cross linker,83,10, 800 ,NaT::800.0," 1,460 ", 491 , 340 , 307 , 321 , 3 ,5.9,4.8,8.3, -   , -   ,,, 330 , 227 ,"1,724","1,621",
55,104939,AQUAFIX LUCID 555,GSC,O,COMPOUND,NCC da doi ten thanh (AQ SYSTEM 555 LUX),70,120, -   ,-, -   , 39 ," 2,469 "," 1,913 "," 1,268 ", -   ,0,4.3,0," 8,032 ", 66.9 ,,," 1,868 "," 1,021 ",-982,"-1,829",
56,105150,AQ SYSTEM 555 LUX,GSC,O,-,ten moi cua AQUAFIX LUCID 555,70,120," 7,440 ",2023-03-05::600.0|||2023-04-12::3000.0|||NaT::3840.0," 2,880 ", 929 , -   , 728 ," 1,456 ", 102 ,5.2,4.3,15.5, -   , -   ,,, 728 , -   ,"3,809","3,081",
57,105021,EXP AQUAFIX 1016,GSC,O,-,"TIP,BONO, VANILE,CAPE TOWN TIP,DAKOTA TIP / replace with 555",70,120, -   ,-, -   , -   , -   , -   ,, -   ,,4.3,0, -   , -   ,,,, -   ,0,,
58,105086,EX WT 43 051,STAHL Singapore,O,COMPOUND,"Fis Baltimora,FISS art: ANGKOR,CAPITAL,TAMPA,FARO,ALINE K TT HP,GABLES,SAHARA, NOKOR, AZORES,MERO",25,110," 3,190 ",NaT::1650.0|||NaT::1540.0, 880 , 419 ," 1,852 "," 1,538 "," 2,120 ", 225 ,0.7,2.8,2.3, 993 , 9.0 ,,," 1,986 "," 1,248 ",51,-687,
59,104555,FI-70-306,STAHL Singapore,O,COMPOUND,"FISS art: Vintage, EFF Deco/Lux, EFF Classic TT",25,55, 220 ,2023-03-09::220.0, 110 , 34 , 293 , 169 , 184 , 114 ,0.6,2.8,1.5, 309 , 5.6 ,,, 238 , 368 ,-224,-94,
60,104512,Melio Wax AL-03,STAHL Singapore,O,-,"WAX DECO&CLASSIC, FISS1 VINTAGE",23,60, -   ,-, -   , -   , -   , -   ,, -   ,,2.8,0, -   , -   ,,,, -   ,0,,
61,104805,CONTEX FUCHSIA,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   ,,4.8,0, -   , -   ,,,, -   ,0,,
62,105462,OPERA RUBINO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,560 ", 120 , 33 , 13 , 16 , 0 ,70,4.8,70, -   , -   ,,, 24 , 1 ,"1,679","1,656",
63,104803,GIALLO CONTEX ECP,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , 31 , -   ,, -   ,,4.8,0, -   , -   ,,,, 8 ,-8,,
64,105468,OPERA GIALLO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 4,200 ", 510 , 582 , 291 , 250 , 23 ,11.3,4.8,11.3, -   , -   ,,, 416 , 623 ,"4,087","4,294",
65,104557,CONTEX GIALLO PK,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , 5 , -   ,, -   ,,4.8,0, -   , -   ,,,, -   ,0,,
66,105472,OPERA ARANCIO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 840 , 85 , 91 , 58 , 79 , 8 ,10.9,4.8,10.9, -   , -   ,,, 85 , 178 ,747,840,
67,104745,ISOLAC GIALLO ORO,SAMIA,O,PIGMENT,"xai het khong mua nua chuyen qua ""SHADE YELLOW""",70,10, -   ,-, 540 , 25 , 31 , 32 , 34 , 12 ,17.7,4.8,17.7, -   , -   ,,, 32 , 39 ,526,533,
68,105593,SHADE YELLOW/EJ,GSC,,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , -   , -   , -   ,, -   ,,4.3,0, -   , -   ,,,, -   ,0,,
69,105611,SHADE YELLOW CO/EJ,GSC,,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , -   , -   , -   ,, -   ,,4.3,0, -   , -   ,,,, -   ,0,,
70,104766,BRITEX GREEN,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   ,,4.3,0, -   , -   ,,,, -   ,0,,
71,104727,DILUENT NITRO GL,RIVERBANK,D,COMPOUND,"pha EFF, FISS nitro và v? sinh",14,850, -   ,-, 850 ," 2,079 "," 15,847 "," 16,892 "," 18,370 "," 3,813 ",0.2,2.5,0.2," 39,348 ", 46.3 ,,," 17,108 "," 10,878 ","-7,949","-14,179",
72,104564,HM-283,STAHL Singapore,O,-,"TIPSHINE article: MALTA TIP, BY CAST TIP, ZANZI TIP",20,1, -   ,-, 50 , 50 , -   , -   ,, -   ,,2.7,0, -   , -   ,,,, -   ,100,,
73,100029,HM-183                   ,STAHL,O,-,TIP BY MACHINE FOR BONO TT TIP,80,1, -   ,-, -   , 15 , -   , -   ,, -   ,,4.7,0, -   , -   ,,,, -   ,15,,
74,104563,HM-132,STAHL Singapore,O,COMPOUND,-,23,22.5, -   ,-, -   , -   , -   , -   ,, -   ,,2.8,0, -   , -   ,,,, -   ,0,,
75,105205,HM-22-132,STAHL Singapore,O,COMPOUND,FISS nitro,25,25, -   ,-, 75 , 27 , 70 , 46 , 43 , 3 ,1.8,2.8,1.8, 56 , 2.2 ,,, 56 , 15 ,87,46,
76,100322,ICALAC SB 200,ICAP,O,COMPOUND,"KELA mua nhieu len, de 2 thang mua mot lan",83,110," 1,650 ",NaT::1650.0," 2,750 ", 664 ," 1,186 ", 834 , 912 , 15 ,3.3,4.8,4.8, -   , -   ,,," 1,049 "," 1,009 ","2,405","2,365",
77,104938,COMPACT HP3,RECALAC,O,COMPOUND,compound,70,1000," 44,000 ",2023-03-26::18000.0|||NaT::18000.0|||NaT::8000.0," 6,000 ", 390 ," 17,275 "," 6,475 "," 7,789 ", 981 ,0.5,4.3,4," 3,760 ", 3.8 ,,," 12,532 "," 7,445 ","-1,055","-6,142",
78,104952,EX-RC -57-611/B,STAHL EUROPE BV,O,COMPOUND,(DONE)-Stahl Germany have another 14ton in their stock.,80,1000, -   ,-, -   , -   , -   , -   ,, -   ,,4.7,0, -   , -   ,,,, -   ,0,,
79,104867,BASEMASK 5000,SMIT FINISHING,O,COMPOUND,"SOFT, MALTA, OVAR",70,120," 1,920 ",2023-03-18::1920.0," 5,400 ", 512 ," 2,516 ", 865 , 730 , 150 ,3.6,4.3,4.8, -   , -   ,,," 1,623 ", 171 ,"5,741","4,289",
80,105321,BASEMUSK 5500,SMIT FINISHING,O,-,"Not, approved,PM.VIE.0021.19.A ,will be used in Mallorca article.",85,120, -   ,-, -   , -   , -   , -   ,, -   ,,4.8,0, -   , -   ,,,, -   ,0,,
81,104931,BINDER M-PR 400,GSC ITALY,O,COMPOUND,Compound,70,1000," 81,000 ",2023-03-05::5000.0|||2023-04-02::2000.0|||2023-04-12::8000.0|||2023-04-01::10000.0|||2023-04-11::18000.0|||NaT::5000.0|||NaT::24000.0|||NaT::9000.0," 10,000 ", 431 ," 32,676 "," 16,034 "," 16,813 "," 1,745 ",0.4,4.3,3.7," 14,846 ", 14.8 ,,," 24,744 "," 26,224 ","-15,793","-14,313",
82,104932,BINDER W 212,GSC ITALY,O,COMPOUND,"Compound,NCC doi ten thanh (BINDER W 207)",70,1000, -   ,-, -   , 52 ," 10,138 "," 3,969 "," 4,174 ", -   ,0,4.3,0," 30,771 ", 30.8 ,,," 7,156 "," 6,403 ","-6,351","-7,104",
83,105151,BINDER W 207,GSC ITALY,O,-,ten moi BINDER W 212,70,1000," 24,000 ",2023-04-02::3000.0|||NaT::3000.0|||NaT::7000.0|||NaT::11000.0," 1,000 ", 944 , -   , 219 , 438 , 743 ,8.9,4.3,118.5, -   , -   ,,, 219 , -   ,"1,944","1,725",
84,104928,RODA BASE 5615,TFL,O,COMPOUND,"FON or RIM article: AJAX TT, HERCULES TT,CAPRI,SAHARA KTT, RAVENNA,Maestro",83,120," 25,600 ",2023-03-27::6000.0|||NaT::600.0|||NaT::1000.0|||NaT::18000.0, -   , -   ," 5,002 "," 1,455 "," 1,861 ", -   ,0,4.8,7.5, -   , -   ,,," 3,432 "," 3,279 ","-3,279","-3,432",
85,104987,BUTIL DIGLYCOL,SAMCHEM,D,COMPOUND,-,14,200, -   ,-, -   , -   , 97 , -   ,, -   ,,2.5,0, -   , -   ,,,, 60 ,-60,,
86,105283,BUTYL CARBITOL (BC),SAMCHEM,D,COMPOUND,add on FISS water,14,200, -   ,-, 400 , 596 , -   , 93 , 78 , 3 ,25.5,2.5,25.5, -   , -   ,,, 39 , -   ,996,957,
87,104579,LAMOIL GS,UNICHEM,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,,2,0, -   , -   ,,,, -   ,0,,
88,104730,LAMSOFT SW16,UNICHEM,O,-,replace with Roda Feel 768N,54,100, -   ,-, -   , -   , -   , -   ,, -   ,,3.8,0, -   , -   ,,,, -   ,0,,
89,105263,RODA FEEL 768/ N,TFL,O,COMPOUND,"Tato Milling art ELLINGTESSE K TT, add on FISS water",83,30, -   ,-," 1,380 ", 84 , 5 , 12 , 5 , -   ,292.8,4.8,292.8, -   , -   ,,, 5 , -   ,"1,464","1,459",
90,104696,LAMSOFT W 81,UNICHEM,O,-,-,54,100, -   ,-, -   , -   , -   , -   ,, -   ,,3.8,0, -   , -   ,,,, -   ,0,,
91,104709,LAMWAX 6,UNICHEM,O,-,-,54,120, -   ,-, -   , -   , -   , -   ,, -   ,,3.8,0, -   , -   ,,,, -   ,0,,
92,104806,CONTEX LEMON C,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , 2 , -   ,, -   ,,4.8,0, -   , -   ,,,, -   ,0,,
93,105469,OPERA LIMONE,GSC,O,PIGMENT,GSC pigment,70,120, 360 ,2023-04-11::360.0, 480 , 197 , 351 , 205 , 217 , 72 ,2.4,4.8,3.7, 312 , 2.6 ,,, 284 , 163 ,514,393,
94,104746,ISOLAC LEMON LP,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua  SHADE LEMON",70,10, -   ,-, -   , 14 , 8 , 9 , 5 , 0 ,2.3,4.8,2.3, 15 , 1.5 ,,, 6 , 6 ,8,8,
