,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on last month , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
31,104768,CONTEX BRUNO R,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , 1 , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, 1 , -   ,0 ,(1),
32,105457,OXY CAR MOGANO HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 2,520 ", 180 , 102 , 59 , 54 , 81 , -   , 26.47 ,4.8, 26.47 , -   , -   , -   , 26.47 , 102 , 33 ,"2,667 ","2,598 ",
33,104798,CONTEX BRUNO V,SAMIA,O,PIGMENT,-,70,160, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
34,105461,OXY CAR BROWN VIOLET HP,GSC,O,PIGMENT,GSC pigment,70,160, 480 ,2023-04-17::480.0," 1,120 ", 439 , 642 , 310 , 298 , 466 , 9 , 2.43 ,4.8, 3.18 ," 1,043 ", 7.0 ," 1,120.0 ", 4.92 , 642 , 187 ,"1,372 ",917 ,"Consumption is increasing, need to check"
35,105043,SAMIANIL CB BRUNO RP,SAMIA,O,PIGMENT,"xai het khong mua nua, chuyen qua mua Sella derm Brown",70,25, -   ,-, -   , 4 , 8 , 3 , 5 , 11 , -   , 0.80 ,4.8, 0.80 , 20 , 1.0 , 25.0 , 5.80 , 8 , 3 ,1 ,(4),
36,105546,SELLA DERM BROWN M2,TFL Italy,O,COMPOUND,"pigment EFF nitro, KELA",85,25, -   ,-, 75 , 11 , -   , 3 , 2 , 3 , -   , 43.00 ,4.8, 43.00 , -   , -   , -   , 43.00 , -   , 1 ,85 ,86 ,
37,104748,ISOLAC BRUNO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE TAN""",70,10, 80 ,2023-04-15::80.0, 70 , 39 , 10 , 9 , 10 , 15 , 0 , 10.90 ,4.8, 18.90 , -   , -   , -   , 18.90 , 10 , 7 ,102 ,99 ,
38,105591,SHADE TAN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 6 , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,6 ,6 ,
39,104749,ISOLAC BRUNO  ROSSO,SAMIA,O,PIGMENT,"xai het khong mua, chuyen qua ""SHADE BROWN""",70,10, -   ,-, 330 , 92 , 34 , 23 , 25 , 24 , 2 , 12.41 ,4.8, 12.41 , -   , -   , -   , 12.41 , 34 , 17 ,405 ,388 ,
40,105592,SHADE BROWN/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 9 , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,9 ,9 ,
41,104538,BUTILGLICOLE,SAMCHEM,D,-,-,14,188, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2.5,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
42,105282,BUTYL CELLOSOLVE (BCS),SAMCHEM,D,-,ve sinh kela,14,188, -   ,-, 188 , -   , -   , 63 , 63 ,#N/A, -   , 2.98 ,2.5, 2.98 , -   , -   , -   , 2.98 , -   , -   ,188 ,188 ,
43,104689,CERANIL D 1188,SAMIA,O,-,-,65,1, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.2,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
44,104786,CERA ST,GSC ITALY,O,COMPOUND,THUNDER art,80,50, -   ,-, -   , 46 , -   , 1 , 1 , 4 , -   , 46.00 ,4.7, 46.00 , -   , -   , -   , 46.00 , -   , -   ,46 ,46 ,
45,105153,FYL WAX CERA ST,GSC ITALY,O,-,THUNDER,80,50, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.7,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
46,104541,CICLOESANONE *,Samchem,D,COMPOUND,EFF - FISS nitro,14,190, -   ,-, 950 , 228 ," 1,037 ", 729 , 848 ," 1,295 ", 32 , 1.14 ,2.5, 1.14 ," 1,415 ", 8.0 ," 1,520.0 ", 2.60 ," 1,037 ", 673 ,505 ,141 ,
47,104690,DC65,NG?C LAN,D,COMPOUND,"EFF water: GRETNA TT,HILLIARD TT, FLORIDA,JAVILLE TT",14,120, -   ,-, 120 , 95 , 1 , 8 , -   ,#N/A, -   ,#DIV/0!,2.5,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, 1 , -   ,215 ,214 ,
48,104787,DERMATOP TP,GSC ITALY,O,-,-,80,50, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.7,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
49,104773,TO-VI-97,GSC ITALY,O,COMPOUND,"Emulsione Light, NCC ?ã ??i tên thành (WASSERLAC 77 ACB)",80,110, -   ,-," 1,210 ", 407 , 583 , 650 , 699 ," 1,282 ", 5 , 2.77 ,4.7, 2.77 ," 1,123.1 ", 10.0 ," 1,100.0 ", 4.7 , 583 , 123 ,"1,494 ","1,034 ",Consumption high -Need to check.
