,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on last month , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
167,104765,BRITEX TURQUOISE,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
168,104913,LS 16-235,STAHL Singapore,O,-,-,23,170, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
169,105326,SU 16-235,STALH Singapore,O,COMPOUND,-,23,180, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
170,105165,LS-76-235,STALH Brazil,O,COMPOUND,-,23,170, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
171,105336,EX-SU-76-235,STALH Singapore,O,COMPOUND,"EFF, FISS nitro",25,180, -   ,-," 1,620 ", 503 ," 1,380 "," 1,132 "," 1,239 "," 1,717 ", 35 , 1.54 ,2.8, 1.54 ," 1,741 ", 10.0 ," 1,800.0 ", 2.84 ," 1,380 ", 780 ,"1,343 ",743 ,
172,104771,CONTEX VERDE,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
173,105463,OPERA VERDE,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 960 , 162 , 107 , 40 , 50 , 83 , -   , 10.49 ,4.8, 10.49 , -   , -   , -   , 10.49 , 107 , 19 ,"1,103 ","1,015 ",
174,105188,OXY FINE VERDE,GSC,O,-,GSC project,70,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
175,104809,VIOLETTO CONTEX R,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
176,105471,OPERA PORPORA,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 2,040 ", 167 , 53 , 37 , 32 , 32 , 1 , 41.64 ,4.8, 41.64 , -   , -   , -   , 41.64 , 53 , 12 ,"2,195 ","2,154 ",
177,105475,OXY FINE VIOLETTO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 3,360 ", 121 , 72 , 37 , 43 , 46 , -   , 48.35 ,4.8, 48.35 , -   , -   , -   , 48.35 , 72 , 42 ,"3,439 ","3,409 ",
178,105474,OXY CAR BORDEAUX HP,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 1,440 ", 107 , 46 , 20 , 11 , 21 , -   , 33.63 ,4.8, 33.63 , -   , -   , -   , 33.63 , 46 , 1 ,"1,546 ","1,501 ",
179,104752,ISOLAC VIOLETTO,SAMIA,O,PIGMENT,"xài h?t không mua n?a, chuy?n qua mua ""SHADE VIOLET""",70,10, -   ,-, 500 , 59 , 64 , 55 , 56 , 76 , 3 , 8.73 ,4.8, 8.73 , -   , -   , -   , 8.73 , 64 , 41 ,518 ,495 ,
180,105599,SHADE VIOLET/EJ,GSC,O,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , 9 , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,9 ,9 ,
181,104655,WT-13-351 (EX-64-170/3),STAHL,O,-,CLASSIC,0,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
182,104873,EX-WT-42-511,STAHL Singapore,O,COMPOUND,"FISS art CALIFORNIA, CADENZA",25,110, -   ,-, 220 , 165 , 27 , 66 , 76 , 58 , -   , 14.26 ,2.8, 14.26 , -   , -   , -   , 14.26 , 27 , 2 ,383 ,358 ,
183,104923,TOP RT 10,GSC GROUP S.P.A,O,COMPOUND,NCC ?ã ??i tên thành (CRX RT CONC),70,10, -   ,-, -   , 88 , 78 , 68 , 84 , 142 , -   , 1.13 ,4.3, 7.03 , -   , 25.0 , 250.0 , 4.33 , 78 , 23 ,65 ,10 ,Shipments should be on time
184,105177,CRX RT CONC,GSC GROUP S.P.A,O,-,tên m?i c?a TOP RT 10,70,10, 460 ,2023-04-15::180.0|||2023-04-22::110.0|||NaT::170.0, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
185,105411,XR-2514,STAHL,O,-,anti allergic to replaceTop RT-10 ,70,1, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
186,104767,CONTEX ZITRON,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
187,105455,OXY CAR CITRON HP,GSC,O,PIGMENT,GSC pigment,70,150, -   ,-," 1,200 ", 154 , 110 , 48 , 52 , 93 , -   , 12.31 ,4.8, 12.31 , -   , -   , -   , 12.31 , 110 , 27 ,"1,327 ","1,244 ",
188,104819,CORAM T YELLOW,Orchid Chem,D,COMPOUND,Replacement for GIALLO R+L DHL 240Kg/month,14,10, -   ,-, -   , -   , 8 , -   ,,#N/A, -   ,#DIV/0!,2.5,#DIV/0!,#DIV/0!, 2.0 , 20.0 ,#DIV/0!, 8 , -   ,0 ,(8),
189,85447,CA 3303,Orchid Chem,D,-,Replacement for CORAM T YELLOW ,14,25, -   ,-, -   , -   , -   , -   ,,#N/A,,#DIV/0!,2.5,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
190,105554,RODA LAC ON 3050-N3,TFL,O,COMPOUND,"FISS art SIENA, ARTIC,Maestro",85,20, -   ,-, 600 , 48 , 2 , 11 , 12 , 22 , -   , 54.00 ,4.8, 54.00 , -   , -   , -   , 54.00 , 2 , -   ,648 ,646 ,
191,104842,RODA CARE NC,,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
192,104854,RODA PUR K 312,TFL,O,COMPOUND,-,85,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,"Replacement
Use for Rework (don't have in fomula)"
193,105550,RODA PUR K 312/F,TFL,O,COMPOUND,"SIENA, THUNDER, EF GABLES K TT,AGG KARAT K TT,EF OCALA K TT",85,120, -   ,-, 720 , 57 , 12 , 183 , 201 , 393 , -   , 1.98 ,4.8, 1.98 ," 1,107.80 ", 10.0 ," 1,200.0 ", 5.03 , 12 , -   ,777 ,765 ,
194,104810,CONTEX ROSSO HTR-CO,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
195,105476,OPERA VINACCIA,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 600 , 175 , 181 , 84 , 103 , 163 , -   , 4.28 ,4.8, 4.28 , 94 , 1.0 , 120.0 , 4.94 , 181 , 94 ,681 ,594 ,
196,104858,ISO PROPYLIC ALCOHOL,RIVERBANK,D,COMPOUND,"DYECOAT-BUENA, Fleshside",14,160, -   ,-, 160 , 164 , 74 , 188 , 293 , 421 , -   , 4.38 ,2.5, 4.38 , -   , -   , -   , 4.38 , 74 , 91 ,233 ,250 ,
197,104983,RECAPUR FIX TVN3,,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
198,100413,MELIO FOAM AX-03,STAHL Singapore,O,COMPOUND,add on FONDO FOAM,25,50, 450 ,2023-04-09::150.0|||2023-04-02::150.0|||2023-04-02::150.0, -   , 24 , 273 , 113 , 129 , 172 , -   , 0.09 ,2.8, 1.74 , 290 , 10.0 , 500.0 , 3.57 , 273 , 126 ,(102),(249),"Stock not not available In Sing Until middle of April.
Air freight (320kgs) ETA 02.04.2023"
199,104877,CRX S 75 / NT,GSC ITALY,O,COMPOUND,cross linker,80,10, 300 ,2023-04-15::300.0, 780 , 243 , 353 , 332 , 342 , 485 , -   , 2.90 ,4.7, 3.75 , 336 , 40.0 , 400.0 , 4.88 , 353 , 157 ,866 ,670 ,
200,105256,XR-5525,STAHL Singapore,O,-,-,70,5, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
201,105659,EX-XR-55-250 ,STAHL Singapore,O,COMPOUND,cross linker,70,5, -   ,-, 40 , 18 , 9 , 5 , 3 , 8 , -   , 19.33 ,4.3, 19.33 , -   , -   , -   , 19.33 , 9 , 1 ,57 ,49 ,
202,104662,ANTISCHIUMA ANZ 130,MAGNABOSCO,O,-,-,70,1000, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
203,104390,SUPRONIL HK BLACK AS,STAHL Germany,O,COMPOUND,(Daniele)we can replace  with the new ones,80,30, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.7,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
204,105045,SAMIANIL CB NERO RP,SAMIA,O,PIGMENT,This chemical will be applied on leather flesh side to use color that is in stock for long time (green,70,1, -   ,-, 330 , 19 , 7 , 8 , 12 , 20 , -   , 29.08 ,4.8, 29.08 , -   , -   , -   , 29.08 , 7 , 2 ,347 ,342 ,
205,105124,SUPRONIL BLACK LD-5915,STAHL Germany,O,-,-,80,1, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.7,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
206,104962,RODA LEVELLER B-LM,TFL,O,COMPOUND,add on FISS water,85,120, -   ,-, 720 , 37 , 87 , 95 , 107 , 177 , 1 , 8.70 ,4.8, 8.70 , -   , -   , -   , 8.70 , 87 , 60 ,697 ,670 ,
207,104902,SAMIACEL MACCHIA 3338,SAMIA,O,COMPOUND,-,70,50, -   ,-, -   , -   , 279 , -   ,,#N/A, -   , -   ,4.3, -   , -   , -   , -   , -   , 279 , 192 ,(192),(279),Replacement
208,105534,SAMIACEL MACCHIA 3338 ET,SAMIA,O,-,KELA,70,50, 500 ,NaT::500.0, 200 , 208 , -   , 230 , 261 , 318 , 4 , 1.46 ,4.3, 3.25 , 273 , 6.0 , 300.0 , 4.63 , -   , -   ,408 ,408 ,
209,104882,SMITFIX RL 9492,SMIT FINISHING,O,-,MALDONADO  LUX,85,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
210,104497,RODA WAX KCF 638,-,O,COMPOUND,-,0,1, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
211,104946,RODA KCF 684,TFL LEDERTECHNIK GMBH,O,COMPOUND,"KARMA/TUNDRA, THUNDER",85,120, -   ,-, -   , 217 , -   , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,217 ,217 ,
212,105402,ICALAC SB1 MATT,ICAP,O,-,"FISS Ellington, BENFICA, CARUSO,VISEU",83,23, -   ,-," 1,679 ", 80 , -   , 68 , 53 , 42 , -   , 33.19 ,4.8, 33.19 , -   , -   , -   , 33.19 , -   , -   ,"1,759 ","1,759 ",
213,104572,ICALAC SB 215,ICAP,O,COMPOUND,"FISS Ellington, BENFICA, CARUSO,VISEU",83,110, -   ,-," 3,410 ", 130 , 376 , 307 , 237 , 279 , -   , 9.41 ,4.8, 9.41 , -   , -   , -   , 9.41 , 376 , 99 ,"3,441 ","3,164 ",
214,105084,GEALUX QT,Getti Brazil ,O,COMPOUND,"TATO Milling  Ellington, BENFICA, CARUSO",68,120, -   ,-," 1,000 ", 168 , 74 , 61 , 35 , 38 , -   , 15.78 ,4.3, 15.78 , -   , -   , -   , 15.78 , 74 , 26 ,"1,142 ","1,094 ",
215,104842,RODA CARE NC,-,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
216,104846,RODA FEEL N 4,TFL,O,COMPOUND,"Fiss Baltimora, Tatto Milling ",85,60," 1,980 ",2023-05-12::1080.0|||2023-05-12::300.0|||2023-05-23::600.0, 900 , 191 ," 1,188 ", 696 , 774 ," 1,208 ", 33 , 0.92 ,4.8, 2.59 ," 2,631 ", 50.0 ," 3,000.0 ", 5.11 ," 1,188 ", 614 ,477 ,(97),May have the potential miss until the nearest shipment (Last month forecast was 775)
217,104847,RODA FEEL S 2081,TFL,O,COMPOUND, FISS water & nitro (1 s? article),85,25, -   ,-, 350 , 91 , 31 , 29 , 16 , 34 , -   , 14.23 ,4.8, 14.23 , -   , -   , -   , 14.23 , 31 , 19 ,422 ,410 ,
218,100047, Rosilk 2229 Feel Modifier,TFL Brazil,O,-,backup for RODA FEEL S 2081,85,25, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
219,104852,RU 74-987,STAHL Singapore,O,-,-,80,110, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.7,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
220,104870,WT-48-459,-,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
221,104900,NOVA EXP 2052/NF,-,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
222,104905,FOAM A 10,-,O,-,-,0,100, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
223,104911,ISOLAC FINISH 2081,-,O,-,-,0,50, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
224,105020,BASEMASK 5755/T2,SMIT FINISHING S.P.A,O,-,ch?y BASEMASK,70,40," 1,920 ",2023-04-13::1920.0," 1,000 ", 250 , -   , 564 , 692 ," 1,050 ", -   , 1.81 ,4.3, 4.58 , -   , 10.0 , 400.0 , 5.16 , -   , -   ,"1,250 ","1,250 ",
225,105027,RODA TEC AW,TFL,O,COMPOUND,"Fiss Baltimora (art ALINE K TT, BALI….)",85,120, -   ,-," 5,040 ", 293 ," 1,543 ", 904 ," 1,006 "," 1,568 ", 45 , 3.46 ,4.8, 3.46 ," 2,073 ", 20.0 ," 2,400.0 ", 5.01 ," 1,543 ", 809 ,"4,524 ","3,790 ",
226,105025,RODA BASE AF-B,TFL,O,-,"RIM HERCULES,FON CAPRI",85,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
227,105559,RODA BASE AF-B/N,TFL,O,COMPOUND,"RIM  AJAX TT,HERCULES,FON CAPRI",85,120, -   ,-," 1,560 ", 86 , 160 , 90 , 50 , 30 , -   , 10.29 ,4.8, 10.29 , -   , -   , -   , 10.29 , 160 , -   ,"1,646 ","1,486 ",
228,105026,RODA FIX 6271/C,TFL,O,-,-,85,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
229,101261,EUDERM NAPPA SOFT S2-A,TFL Italy,O,COMPOUND,"Bowie/Viseu / Ellington lux TT & K TT,MALTESSE, VENEZA LUX",85,115, -   ,-," 4,505 ", 122 ," 1,171 ", 589 , 545 , 841 , -   , 3.95 ,4.8, 3.95 , 994 , 10.0 ," 1,150.0 ", 4.93 ," 1,171 ", 191 ,"4,436 ","3,456 ",
230,100041,PRIMAL SB-100,LANXESS,O,-,"Bowie / Ellington lux TT & K TT,TAB,MALTESSE",25,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
231,105614,PRIMAL LH-100,LANXESS,O,-,"Bowie / Ellington lux TT & K TT,TAB,MALTESSE",25,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
232,105655,PRIMAL LH 500 ,TFL Brazil,O,COMPOUND,"Bowie/Viseu / Ellington lux TT & K TT,MALTESSE, VENEZA LUX",85,120, -   ,-," 12,000 ", 285 ," 2,668 "," 1,356 "," 1,260 "," 1,974 ", -   , 4.60 ,4.8, 4.60 , 521 , 10.0 ," 1,200.0 ", 5.05 ," 2,668 ", 435 ,"11,850 ","9,617 ",Used as the Raplacement when HP3 out of stock
233,104221,PRIMAL SB-150,LANXESS,O,-,"PRE HERCULES,Bowie / Ellington lux TT & K TT, TAB,MALTESSE",25,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
234,105615,PRIMAL LH-150,LANXESS,O,-,"Bowie / Ellington lux TT & K TT, TAB,MALTESSE",25,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
235,105656,PRIMAL LH 550,TFL Brazil,O,COMPOUND,"PRE HERCULES, AJAX TT,Bowie/Viseu / Ellington lux TT & K TT, TAB,MALTESSE, GOBIEW, VENEZA LUX",85,120, -   ,-," 10,000 ", 431 ," 1,387 ", 809 , 819 ," 1,514 ", -   , 7.52 ,4.8, 7.52 , -   , 5.0 , 600.0 , 7.95 ," 1,387 ", 223 ,"10,208 ","9,044 ",Used as the Raplacement when HP3 out of stock
236,105008,BINDER M-RI 99,GSC GROUP S.P.A,O,COMPOUND,"RIM (white color), EF HERCULES,  AJAX TT, EFF BONO TT TIP,TORONTO TAB)",70,120," 3,840 ",2023-04-17::3840.0," 4,000 ", 460 ," 1,494 "," 1,445 "," 1,220 "," 1,696 ", -   , 2.99 ,4.3, 5.56 , -   , -   , -   , 5.56 ," 1,494 ", 387 ,"4,073 ","2,966 ",
237,104959,EX-LS-64-468,STAHL Singapore,O,COMPOUND,BUY MORE 225,25,25, 400 ,2023-04-09::100.0|||2023-04-09::100.0|||NaT::200.0, -   , -   , -   , 154 , 148 , 166 , -   , -   ,2.8, 2.70 , 14 , 10.0 , 250.0 , 4.39 , -   , -   ,0 ,0 ,
238,104706,AQUABASE HF LIQ,STAHL Germany,O,-,-,80,90, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.7,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
239,105127,BIOTHANE UW 6522,ORCHID CHEM (NG?C LAN),D,-,Tipshine,14,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2.5,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
240,105167,Aquabase HP ,Stahl ,O,-,"STUCCO BY GEMATA=> xài h?t không mua n?a, chuy?n qua xài RODA CARE 5754",70,75, -   ,-, -   , -   , -   ," 1,008 ",,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
241,105658,AQUABASE UPH,Stahl ,O,-,STUCCO BY GEMATA=> check stock RODA CARE 5754 và check l?i v?i Technician ??i qua AQUABASE UPH (n?u ??i thì báo Singapore tr??c 3 tháng ?? keep stock và mua t?i Singapore),70,75, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
242,104910,RODA CARE 5754,TFL,O,-,STUCCO BY GEMATA=> check stock và check l?i v?i Technician ??i qua AQUABASE UPH (n?u ??i thì báo Singapore tr??c 3 tháng ?? keep stock và mua t?i Singapore),85,70," 1,800 ",2023-05-16::1800.0," 12,000 "," 2,882 ", -   ," 3,399 "," 4,540 "," 5,664 ", -   , 3.28 ,4.8, 3.67 ," 5,110 ", 75.0 ," 5,250.0 ", 4.83 , -   , -   ,"14,882 ","14,882 ",
243,105218,FOUNDER ROLLER 2515 ,SAMIA,O,-,-,80,40, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.7,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
244,105126,ANTIFOAM NS-165,Vina Hào D??ng,D,COMPOUND,"add on FISS water, Basemask 5755",14,25, -   ,-, -   , 55 , 3 , 6 , 5 , 3 , -   , 11.00 ,2.5, 11.00 , -   , 1.0 , 25.0 , 16.00 , 3 , -   ,55 ,52 ,
245,105173,SMITFIX G 9631,SMIT FINISHING S.P.A,O,COMPOUND,"Tên article có TIP : ROSSINI TT TIP,BRAZOS,SAPPA,PASKOA, BY CAST TIP,TORONTO TIP, ROCKPOINT TIP,EMO TIP,TSING,XANTUM",70,120, -   ,-," 14,400 ", 594 , 143 , 195 , 227 , 382 , -   , 104.85 ,4.3, 104.85 , -   , -   , -   , 104.85 , 143 , 39 ,"14,955 ","14,851 ",
246,105175,SMITFIX G 9633,SMIT FINISHING S.P.A,O,COMPOUND,"Tên Article có TIP,  TIPSHINE BY HAND & MILLIPUNTE",70,120, -   ,-," 8,520 ", -   , 68 , 65 , 38 , 50 , -   , 125.29 ,4.3, 125.29 , -   , -   , -   , 125.29 , 68 , 15 ,"8,505 ","8,452 ",
247,105600,EX-WT-35-703,STAHL Germany,O,COMPOUND,FISS ANKUR K TT,83,120, 120 ,2023-05-14::120.0, 480 , 231 , 28 , 91 , 131 , 203 , -   , 25.39 ,4.8, 29.68 , -   , -   , -   , 29.68 , 28 , -   ,711 ,683 ,
248,105080,RODA CARE HB,TFL,O,COMPOUND,PRE HERCULES,85,100, -   ,-, -   , -   , 113 , -   ,,#N/A, -   , -   ,4.8, -   , 542 , 5.4 , 540.0 , 4.78 , 113 , -   ,0 ,(113),Replacement
249,105516,RODA CARE HB-B,TFL,O,-,"PRE HERCULES, AJAX TT",85,100, -   ,-," 2,000 ", 72 , -   , 130 , 63 , 53 , -   , 18.34 ,4.8, 18.34 , -   , -   , -   , 32.89 , -   , -   ,"2,072 ","2,072 ",
250,105255,MA-22-617,STAHL Spain,O,COMPOUND,"EF HERCULES, AJAX TT",71,25, -   ,-, 750 , 44 , 6 , 9 , 5 , 7 , -   , 158.80 ,4.4, 158.80 , -   , -   , -   , 158.80 , 6 , -   ,794 ,788 ,
251,105393,RODA FEEL KTA 950,TFL,O,COMPOUND,"FIS HERCULES, AJAX TT, FLESH SIDE , Tatto Milling",85,25, -   ,-, 750 , 43 , -   , 115 , 111 , 180 , 29 , 2.72 ,4.8, 2.72 , 609 , 25.0 , 625.0 , 4.86 , -   , -   ,793 ,793 ,Replacement
252,105012,RODA FEEL KTA 950 BR ,TFL,O,COMPOUND,"FIS HERCULES, KELA FLESH SIDE BONO TT TIP",85,30, -   ,-, -   , -   , 292 , -   ,,#N/A, -   , -   ,4.8, -   , -   , -   , -   , -   , 292 , 162 ,(162),(292),
253,105203,RODA FIX 6306,TFL Brazil,O,COMPOUND,"FIS HERCULES, AJAX TT",85,200, -   ,-," 1,800 ", 89 , 62 , 101 , 71 , 37 , -   , 30.47 ,4.8, 30.47 , -   , -   , -   , 30.47 , 62 , -   ,"1,889 ","1,827 ",
254,105059,RODA FEEL S 2075-BR,TFL,O,COMPOUND,"ch?t này gi?ng RODA FEEL S 2075 , MILLING HERCULES, AJAX TT",85,10, -   ,-, 40 , -   , 4 , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, 4 , -   ,40 ,36 ,
255,104949,RODA BASE RECO 3,TFL,O,COMPOUND,"PRE-CAPRI, ANKUR K TT",85,120, -   ,-, 480 , 87 , 37 , 18 , 13 , 1 , -   , 15.32 ,4.8, 15.32 , -   , -   , -   , 15.32 , 37 , -   ,567 ,530 ,
256,105349,RODA FEEL S 2075,TFL,O,-,"ch?t này gi?ng RODA FEEL S 2075-BR , MILLING HERCULES, AJAX TT",85,120, 100 ,2023-05-12::75.0|||2023-05-16::25.0, 50 , 13 , -   , 1 , 1 , 0 , -   , 63.00 ,4.8, 163.00 , -   , -   , -   , 163.00 , -   , -   ,63 ,63 ,
257,104951,SMITFIX RL 9549,SMIT FINISHING S.P.A,O,-,July08-Alan:Place an order for 360kg 9549 ASAP-cancel,83,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
258,105492,SELLA DERM YELLOW M2,TFL,O,COMPOUND,"pigment SIENA, EF WATER",85,25, -   ,-, 50 , 6 , 2 , 9 , 10 , 14 , 1 , 5.60 ,4.8, 5.60 , -   , -   , -   , 5.60 , 2 , 1 ,55 ,54 ,
259,104978,DARKWAX 6G,GSC,O,COMPOUND,THUNDER,70,120, -   ,-, 240 , 120 , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,360 ,360 ,
260,105158,FYL WAX 6G,GSC,O,-,THUNDER,70,120, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
