,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit, Current InHouse & Intransit , Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,Working days in month,Days remain,Consumption per day,Notes
63,104803,GIALLO CONTEX ECP,SAMIA,O,PIGMENT,-,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
64,105468,OPERA GIALLO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-," 3,720 ", 306 , 627 , 291 , 250 , 610 , 6.42 ,4.8, 6.42 , -   , -   ,,, 627 , 270 ,"3,756 ","3,399 ",,, 23 ,
65,104557,CONTEX GIALLO PK,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
66,105472,OPERA ARANCIO,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 720 , 100 , 98 , 58 , 79 , 104 , 8.37 ,4.8, 8.37 , -   , -   ,,, 98 , 84 ,736 ,722 ,,, 4 ,
67,104745,ISOLAC GIALLO ORO,SAMIA,O,PIGMENT,"xai het khong mua nua chuyen qua ""SHADE YELLOW""",70,10, -   ,-, 420 , 79 , 41 , 32 , 34 , 64 , 12.17 ,4.8, 12.17 , -   , -   ,,, 41 , 18 ,481 ,458 ,,, 2 ,
68,105593,SHADE YELLOW/EJ,GSC,,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
69,105611,SHADE YELLOW CO/EJ,GSC,,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
70,104766,BRITEX GREEN,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
71,104727,DILUENT NITRO GL,RIVERBANK,D,COMPOUND,"pha EFF, FISS nitro và v? sinh",14,850, -   ,-," 6,800 "," 1,845 "," 18,205 "," 16,892 "," 18,370 "," 27,871 ", 0.47 ,2.5, 0.47 ," 36,410 ", 42.8 ,,," 18,205 "," 9,449 ",(804),"(9,560)",,," 1,072 ",
72,104564,HM-283,STAHL Singapore,O,-,"TIPSHINE article: MALTA TIP, BY CAST TIP, ZANZI TIP",20,1, -   ,-, 50 , 50 , -   , -   ,, -   ,#DIV/0!,2.7,#DIV/0!, -   , -   ,,, -   , -   ,100 ,100 ,,, -   ,
73,100029,HM-183                   ,STAHL,O,-,TIP BY MACHINE FOR BONO TT TIP,80,1, -   ,-, -   , 15 , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,15 ,15 ,,, -   ,
74,104563,HM-132,STAHL Singapore,O,COMPOUND,-,23,22.5, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
75,105205,HM-22-132,STAHL Singapore,O,COMPOUND,FISS nitro,25,25, 100 ,2023-03-26::100.0, 25 , 50 , 71 , 46 , 43 , 30 , 1.06 ,2.8, 2.46 , 21 , 0.9 ,,, 71 , 25 ,50 ,4 ,,, 1 ,
76,100322,ICALAC SB 200,ICAP,O,COMPOUND,"KELA mua nhieu len, de 2 thang mua mot lan",83,110," 1,650 ",2023-04-21::1650.0," 1,980 ", 417 ," 1,104 ", 834 , 912 , 869 , 2.17 ,4.8, 3.67 ," 1,214 ", 11.0 ,,," 1,104 ", 781 ,"1,616 ","1,293 ",,, 33 ,
