,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit, Current InHouse & Intransit , Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,Working days in month,Days remain,Consumption per day,Notes
190,105554,RODA LAC ON 3050-N3,TFL,O,COMPOUND,"FISS art SIENA, ARTIC,Maestro",85,20, -   ,-, 600 , 48 , 2 , 14 , 8 , 21 , 81.00 ,4.8, 81.00 , -   , -   ,,, 2 , -   ,648 ,646 ,,, 1 ,
191,104842,RODA CARE NC,,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
192,104854,RODA PUR K 312,TFL,O,COMPOUND,-,85,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
193,105550,RODA PUR K 312/F,TFL,O,COMPOUND,"SIENA, THUNDER, EF GABLES K TT,AGG KARAT K TT,EF OCALA K TT",85,120, 360 ,2023-03-28::360.0, 360 , 77 , 11 , 119 , 108 , 367 , 39.73 ,4.8, 72.45 , -   , -   ,,, 11 , -   ,437 ,426 ,,, 14 ,
194,104810,CONTEX ROSSO HTR-CO,SAMIA,O,PIGMENT,-,70,60, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
195,105476,OPERA VINACCIA,GSC,O,PIGMENT,GSC pigment,70,120, -   ,-, 600 , 188 , 158 , 75 , 71 , 127 , 4.99 ,4.8, 4.99 , -   , -   ,,, 158 , 53 ,735 ,630 ,,, 5 ,
196,104858,ISO PROPYLIC ALCOHOL,RIVERBANK,D,COMPOUND,"DYECOAT-BUENA, Fleshside",14,160, -   ,-, 320 , 4 , 72 , 133 , 190 , 421 , 4.50 ,2.5, 4.50 , -   , -   ,,, 72 , 91 ,233 ,252 ,,, 16 ,
197,104983,RECAPUR FIX TVN3,,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
198,100413,MELIO FOAM AX-03,STAHL Singapore,O,COMPOUND,add on FONDO FOAM,25,50, 450 ,NaT::150.0|||2023-03-29::150.0|||2023-03-29::150.0, -   , 31 , 243 , 103 , 136 , 162 , 0.13 ,2.8, 1.98 , 194 , 3.9 ,,, 243 , 105 ,(74),(212),,, 6 ,
199,104877,CRX S 75 / NT,GSC ITALY,O,COMPOUND,cross linker,80,10, 300 ,2023-04-15::300.0, 860 , 190 , 339 , 292 , 303 , 423 , 3.10 ,4.7, 3.98 , 237 , 23.7 ,,, 339 , 145 ,905 ,711 ,,, 16 ,
200,105256,XR-5525,STAHL Singapore,O,-,-,70,5, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
201,105659,EX-XR-55-250 ,STAHL Singapore,O,COMPOUND,cross linker,70,5, -   ,-, 40 , 18 , 9 , 6 , 4 , 7 , 14.50 ,4.3, 14.50 , -   , -   ,,, 9 , 1 ,57 ,49 ,,, 0 ,
202,104662,ANTISCHIUMA ANZ 130,MAGNABOSCO,O,-,-,70,1000, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
203,104390,SUPRONIL HK BLACK AS,STAHL Germany,O,COMPOUND,(Daniele)we can replace  with the new ones,80,30, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
204,105045,SAMIANIL CB NERO RP,SAMIA,O,PIGMENT,This chemical will be applied on leather flesh side to use color that is in stock for long time (green,70,1, -   ,-, 330 , 21 , 4 , 5 , 7 , 14 , 50.14 ,4.8, 50.14 , -   , -   ,,, 4 , 2 ,349 ,347 ,,, 1 ,
205,105124,SUPRONIL BLACK LD-5915,STAHL Germany,O,-,-,80,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
206,104962,RODA LEVELLER B-LM,TFL,O,COMPOUND,add on FISS water,85,120, -   ,-, 720 , 64 , 77 , 90 , 74 , 146 , 10.18 ,4.8, 10.18 , -   , -   ,,, 77 , 60 ,724 ,707 ,,, 6 ,
207,104902,SAMIACEL MACCHIA 3338,SAMIA,O,COMPOUND,-,70,50, -   ,-, -   , -   , 259 , -   ,, -   , -   ,4.3, -   ," 1,114 ", 22.3 ,,, 259 , 193 ,(193),(259),,, -   ,
208,105534,SAMIACEL MACCHIA 3338 ET,SAMIA,O,-,KELA,70,50, 500 ,NaT::500.0, 200 , 225 , -   , 192 , 244 , 295 , 1.74 ,4.3, 3.79 , -   , -   ,,, -   , -   ,425 ,425 ,,, 11 ,
209,104882,SMITFIX RL 9492,SMIT FINISHING,O,-,MALDONADO  LUX,85,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
210,104497,RODA WAX KCF 638,-,O,COMPOUND,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
211,104946,RODA KCF 684,TFL LEDERTECHNIK GMBH,O,COMPOUND,"KARMA/TUNDRA, THUNDER",85,120, -   ,-, -   , 217 , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,217 ,217 ,,, -   ,
212,105402,ICALAC SB1 MATT,ICAP,O,-,"FISS Ellington, BENFICA, CARUSO,VISEU",83,23, -   ,-," 1,679 ", 80 , -   , 69 , 82 , 41 , 21.45 ,4.8, 21.45 , -   , -   ,,, -   , -   ,"1,759 ","1,759 ",,, 2 ,
213,104572,ICALAC SB 215,ICAP,O,COMPOUND,"FISS Ellington, BENFICA, CARUSO,VISEU",83,110, -   ,-," 3,410 ", 130 , 371 , 304 , 331 , 243 , 9.54 ,4.8, 9.54 , -   , -   ,,, 371 , 99 ,"3,441 ","3,169 ",,, 9 ,
214,105084,GEALUX QT,Getti Brazil ,O,COMPOUND,"TATO Milling  Ellington, BENFICA, CARUSO",68,120, -   ,-," 1,000 ", 168 , 74 , 60 , 61 , 34 , 15.78 ,4.3, 15.78 , -   , -   ,,, 74 , 26 ,"1,142 ","1,094 ",,, 1 ,
215,104842,RODA CARE NC,-,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
216,104846,RODA FEEL N 4,TFL,O,COMPOUND,"Fiss Baltimora, Tatto Milling ",85,60," 3,180 ",2023-03-28::1200.0|||2023-05-12::1080.0|||2023-05-12::300.0|||NaT::600.0, -   , 47 , 775 , 584 , 665 ," 1,036 ", 0.06 ,4.8, 4.16 , 465 , 7.7 ,,, 775 , 577 ,(530),(728),,, 40 ,
217,104847,RODA FEEL S 2081,TFL,O,COMPOUND, FISS water & nitro (1 s? article),85,25, -   ,-, 350 , 92 , 31 , 33 , 20 , 31 , 14.26 ,4.8, 14.26 , -   , -   ,,, 31 , 18 ,424 ,411 ,,, 1 ,
218,100047, Rosilk 2229 Feel Modifier,TFL Brazil,O,-,backup for RODA FEEL S 2081,85,25, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
219,104852,RU 74-987,STAHL Singapore,O,-,-,80,110, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
220,104870,WT-48-459,-,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
221,104900,NOVA EXP 2052/NF,-,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
222,104905,FOAM A 10,-,O,-,-,0,100, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
223,104911,ISOLAC FINISH 2081,-,O,-,-,0,50, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
224,105020,BASEMASK 5755/T2,SMIT FINISHING S.P.A,O,-,ch?y BASEMASK,70,40," 1,920 ",2023-04-13::1920.0," 1,000 ", 290 , -   , 500 , 586 , 890 , 2.20 ,4.3, 5.48 , -   , -   ,,, -   , -   ,"1,290 ","1,290 ",,, 34 ,
225,105027,RODA TEC AW,TFL,O,COMPOUND,"Fiss Baltimora (art ALINE K TT, BALI….)",85,120, -   ,-," 5,040 ", 400 , 965 , 844 , 814 ," 1,375 ", 5.64 ,4.8, 5.64 , -   , -   ,,, 965 , 750 ,"4,690 ","4,475 ",,, 53 ,
226,105025,RODA BASE AF-B,TFL,O,-,"RIM HERCULES,FON CAPRI",85,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
227,105559,RODA BASE AF-B/N,TFL,O,COMPOUND,"RIM  AJAX TT,HERCULES,FON CAPRI",85,120, -   ,-," 1,560 ", 94 , 142 , 120 , 71 , 22 , 11.65 ,4.8, 11.65 , -   , -   ,,, 142 , -   ,"1,654 ","1,512 ",,, 1 ,
228,105026,RODA FIX 6271/C,TFL,O,-,-,85,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
229,101261,EUDERM NAPPA SOFT S2-A,TFL Italy,O,COMPOUND,"Bowie/Viseu / Ellington lux TT & K TT,MALTESSE, VENEZA LUX",85,115, -   ,-," 4,505 ", 288 ," 1,162 ", 561 , 566 , 658 , 4.12 ,4.8, 4.12 , 813 , 7.1 ,,," 1,162 ", 298 ,"4,495 ","3,631 ",,, 25 ,
230,100041,PRIMAL SB-100,LANXESS,O,-,"Bowie / Ellington lux TT & K TT,TAB,MALTESSE",25,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
231,105614,PRIMAL LH-100,LANXESS,O,-,"Bowie / Ellington lux TT & K TT,TAB,MALTESSE",25,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
232,105655,PRIMAL LH 500 ,TFL Brazil,O,COMPOUND,"Bowie/Viseu / Ellington lux TT & K TT,MALTESSE, VENEZA LUX",85,120, -   ,-," 12,000 ", 662 ," 2,648 "," 1,289 "," 1,287 "," 1,557 ", 4.78 ,4.8, 4.78 , -   , -   ,,," 2,648 ", 679 ,"11,983 ","10,014 ",,, 60 ,
233,104221,PRIMAL SB-150,LANXESS,O,-,"PRE HERCULES,Bowie / Ellington lux TT & K TT, TAB,MALTESSE",25,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
234,105615,PRIMAL LH-150,LANXESS,O,-,"Bowie / Ellington lux TT & K TT, TAB,MALTESSE",25,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
235,105656,PRIMAL LH 550,TFL Brazil,O,COMPOUND,"PRE HERCULES, AJAX TT,Bowie/Viseu / Ellington lux TT & K TT, TAB,MALTESSE, GOBIEW, VENEZA LUX",85,120, -   ,-," 10,000 ", 624 ," 1,380 ", 743 , 671 ," 1,301 ", 7.70 ,4.8, 7.70 , -   , -   ,,," 1,380 ", 348 ,"10,276 ","9,244 ",,, 50 ,
236,105008,BINDER M-RI 99,GSC GROUP S.P.A,O,COMPOUND,"RIM (white color), EF HERCULES,  AJAX TT, EFF BONO TT TIP,TORONTO TAB)",70,120," 3,840 ",2023-04-10::3840.0," 4,000 ", 497 ," 1,416 "," 1,378 "," 1,166 "," 1,645 ", 3.18 ,4.3, 5.89 , -   , -   ,,," 1,416 ", 367 ,"4,130 ","3,081 ",,, 63 ,
237,104959,EX-LS-64-468,STAHL Singapore,O,COMPOUND,BUY MORE 225,25,25, 100 ,NaT::100.0, -   , -   , -   , 127 , 173 , 166 , -   ,2.8, 0.58 , -   , -   ,,, -   , -   ,0 ,0 ,,, 6 ,
238,104706,AQUABASE HF LIQ,STAHL Germany,O,-,-,80,90, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
239,105127,BIOTHANE UW 6522,ORCHID CHEM (NG?C LAN),D,-,Tipshine,14,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2.5,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
240,105167,Aquabase HP ,Stahl ,O,-,"STUCCO BY GEMATA=> xài h?t không mua n?a, chuy?n qua xài RODA CARE 5754",70,75, -   ,-, -   , -   , -   ," 1,691 ", 7 , -   , -   ,4.3, -   , -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
241,105658,AQUABASE UPH,Stahl ,O,-,STUCCO BY GEMATA=> check stock RODA CARE 5754 và check l?i v?i Technician ??i qua AQUABASE UPH (n?u ??i thì báo Singapore tr??c 3 tháng ?? keep stock và mua t?i Singapore),70,75, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
242,104910,RODA CARE 5754,TFL,O,-,STUCCO BY GEMATA=> check stock và check l?i v?i Technician ??i qua AQUABASE UPH (n?u ??i thì báo Singapore tr??c 3 tháng ?? keep stock và mua t?i Singapore),85,70," 1,800 ",2023-05-16::1800.0," 15,000 ", 685 , -   ," 2,455 "," 4,410 "," 4,669 ", 3.56 ,4.8, 3.96 , -   , -   ,,, -   , -   ,"15,685 ","15,685 ",,, 180 ,
243,105218,FOUNDER ROLLER 2515 ,SAMIA,O,-,-,80,40, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.7,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
244,105126,ANTIFOAM NS-165,Vina Hào D??ng,D,COMPOUND,"add on FISS water, Basemask 5755",14,25, -   ,-, -   , 55 , 3 , 7 , 6 , 3 ,18.3,2.5,18.3, -   , -   ,,, 3 , -   ,55 ,52 ,,, 0 ,
245,105173,SMITFIX G 9631,SMIT FINISHING S.P.A,O,COMPOUND,"Tên article có TIP : ROSSINI TT TIP,BRAZOS,SAPPA,PASKOA, BY CAST TIP,TORONTO TIP, ROCKPOINT TIP,EMO TIP,TSING,XANTUM",70,120, -   ,-," 14,760 ", 421 , 168 , 193 , 117 , 86 , 90.36 ,4.3, 90.36 , -   , -   ,,, 168 , 27 ,"15,154 ","15,013 ",,, 3 ,
246,105175,SMITFIX G 9633,SMIT FINISHING S.P.A,O,COMPOUND,"Tên Article có TIP,  TIPSHINE BY HAND & MILLIPUNTE",70,120, -   ,-," 8,520 ", -   , 75 , 78 , 30 , 50 , 113.60 ,4.3, 113.60 , -   , -   ,,, 75 , 8 ,"8,512 ","8,445 ",,, 2 ,
247,105600,EX-WT-35-703,STAHL Germany,O,COMPOUND,FISS ANKUR K TT,83,120, 120 ,2023-05-14::120.0, 480 , 231 , 33 , 57 , 97 , 203 , 21.55 ,4.8, 25.18 , -   , -   ,,, 33 , -   ,711 ,678 ,,, 8 ,
248,105080,RODA CARE HB,TFL,O,COMPOUND,PRE HERCULES,85,100, -   ,-, -   , -   , 100 , -   ,, -   , -   ,4.8, -   , 480 , 4.8 ,,, 100 , -   ,0 ,(100),,, -   ,
249,105516,RODA CARE HB-B,TFL,O,-,"PRE HERCULES, AJAX TT",85,100, -   ,-," 2,000 ", 72 , -   , 129 , 80 , 53 , 25.90 ,4.8, 25.90 , -   , -   ,,, -   , -   ,"2,072 ","2,072 ",,, 2 ,
250,105255,MA-22-617,STAHL Spain,O,COMPOUND,"EF HERCULES, AJAX TT",71,25, -   ,-, 750 , 44 , 5 , 8 , 7 , 6 , 113.43 ,4.4, 113.43 , -   , -   ,,, 5 , -   ,794 ,789 ,,, 0 ,
251,105393,RODA FEEL KTA 950,TFL,O,COMPOUND,"FIS HERCULES, AJAX TT, FLESH SIDE , Tatto Milling",85,25, -   ,-, 750 , 77 , -   , 91 , 98 , 157 , 8.44 ,4.8, 8.44 , -   , -   ,,, -   , -   ,827 ,827 ,,, 6 ,
252,105012,RODA FEEL KTA 950 BR ,TFL,O,COMPOUND,"FIS HERCULES, KELA FLESH SIDE BONO TT TIP",85,30, -   ,-, -   , -   , 256 , -   ,, -   , -   ,4.8, -   ," 1,229 ", 41.0 ,,, 256 , 161 ,(161),(256),,, -   ,
253,105203,RODA FIX 6306,TFL Brazil,O,COMPOUND,"FIS HERCULES, AJAX TT",85,200, -   ,-," 1,800 ", 89 , 55 , 99 , 86 , 37 , 34.35 ,4.8, 34.35 , -   , -   ,,, 55 , -   ,"1,889 ","1,834 ",,, 1 ,
254,105059,RODA FEEL S 2075-BR,TFL,O,COMPOUND,"ch?t này gi?ng RODA FEEL S 2075 , MILLING HERCULES, AJAX TT",85,10, -   ,-, 40 , -   , 4 , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, 4 , -   ,40 ,36 ,,, -   ,
255,104949,RODA BASE RECO 3,TFL,O,COMPOUND,"PRE-CAPRI, ANKUR K TT",85,120, -   ,-, 480 , 87 , 44 , 30 , 33 , 1 , 12.89 ,4.8, 12.89 , -   , -   ,,, 44 , -   ,567 ,523 ,,, 0 ,
256,105349,RODA FEEL S 2075,TFL,O,-,"ch?t này gi?ng RODA FEEL S 2075-BR , MILLING HERCULES, AJAX TT",85,120, 100 ,2023-05-12::75.0|||2023-05-16::25.0, 50 , 13 , -   , 1 , 1 , -   , 63.00 ,4.8, 163.00 , -   , -   ,,, -   , -   ,63 ,63 ,,, -   ,
257,104951,SMITFIX RL 9549,SMIT FINISHING S.P.A,O,-,July08-Alan:Place an order for 360kg 9549 ASAP-cancel,83,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
258,105492,SELLA DERM YELLOW M2,TFL,O,COMPOUND,"pigment SIENA, EF WATER",85,25, -   ,-, 50 , 7 , 2 , 9 , 7 , 14 , 8.14 ,4.8, 8.14 , -   , -   ,,, 2 , 1 ,56 ,55 ,,, 1 ,
259,104978,DARKWAX 6G,GSC,O,COMPOUND,THUNDER,70,120, -   ,-, 240 , 120 , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,360 ,360 ,,, -   ,
260,105158,FYL WAX 6G,GSC,O,-,THUNDER,70,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
261,105547,SELLA DERM LIGHT BLUE M2,TFL Italy,O,COMPOUND,pigment SIENA,85,25, -   ,-, 25 , 4 , -   , 1 , -   , 1 ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,29 ,29 ,,, 0 ,
262,105548,SELLA DERM FUCSIA M2,TFL Italy,O,COMPOUND,pigment SIENA,85,25, -   ,-, -   , 8 , -   , 1 , 1 , 2 , 8.00 ,4.8, 8.00 , -   , -   ,,, -   , -   ,8 ,8 ,,, 0 ,
263,105549,SELLA DERM ARANCIO M2,TFL Italy,O,COMPOUND,pigment SIENA ( không mua n?a khi nào h?t s? xài DHL ORANGE),85,25, 25 ,2023-05-16::25.0, -   , 9 , -   , 3 , 3 , 2 , 3.00 ,4.8, 11.33 , -   , -   ,,, -   , -   ,9 ,9 ,,, 0 ,
264,105409,RODA GROUND RECO 5,TFL Italy,O,COMPOUND,SIENA,85,120, -   ,-," 13,320 ", 136 , 33 , 110 , 37 , 150 , 407.76 ,4.8, 407.76 , -   , -   ,,, 33 , -   ,"13,456 ","13,423 ",,, 6 ,
265,105545,RODA WAX 4092,TFL Italy,O,COMPOUND,SIENA,85,110, -   ,-," 2,640 ", 143 , 11 , 34 , 9 , 43 , 253.00 ,4.8, 253.00 , -   , -   ,,, 11 , -   ,"2,783 ","2,772 ",,, 2 ,
266,105369,RODA PUR ADX,TFL Italy,O,COMPOUND,SIENA,85,120, -   ,-," 2,640 ", 146 , 8 , 25 , 9 , 34 , 309.56 ,4.8, 309.56 , -   , -   ,,, 8 , -   ,"2,786 ","2,778 ",,, 1 ,
267,104944,RODA OIL KCF 673,TFL Italy,O,COMPOUND,SIENA,85,110, -   ,-," 4,510 ", 140 , 75 , 87 , 28 , 35 , 62.00 ,4.8, 62.00 , -   , -   ,,, 75 , -   ,"4,650 ","4,575 ",,, 1 ,
268,105063,FI 18988,STAHL,O,-,SIENA,70,25, -   ,-, -   , 15 , -   , 1 , 3 , -   , 5.00 ,4.3, 5.00 , -   , -   ,,, -   , -   ,15 ,15 ,,, -   ,
269,105560,RODA FIX 5792/N2,TFL Italy,O,-,-,85,120, -   ,-, 120 , 73 , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,193 ,193 ,,, -   ,
270,105621,RODA WAX KCF 604/N,TFL Italy,O,COMPOUND,SIENA,85,120, 240 ,2023-05-12::240.0," 2,280 ", 510 , 77 , 266 , 89 , 299 , 36.23 ,4.8, 39.35 , -   , -   ,,, 77 , -   ,"2,790 ","2,713 ",,, 11 ,
271,105626,NNXC R-16L,,O,-,sample-Shippiment Brazil to JBS Vietnan,83,30, -   ,-," 1,060 ", -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,"1,060 ","1,060 ",,, -   ,
272,105685,PRIMEX 2293,GSC,O,-,sample-Chemicals for Chamois and Maestro ,70,5, -   ,-, 5 , -   , -   , -   ,, -   ,#DIV/0!,4.3,#DIV/0!, -   , -   ,,, -   , -   ,5 ,5 ,,, -   ,
273,105193,ADDITIVE LIV 2455/2,GSC,O,-,sample-Chemicals for Chamois and Maestro ,83,5, -   ,-, 5 , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,5 ,5 ,,, -   ,
274,105684,FYL WAX 2500,GSC,O,-,sample-Chemicals for Chamois and Maestro ,83,10, -   ,-, 10 , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,10 ,10 ,,, -   ,
275,105682,FYL WAX 69,GSC,O,-,sample-Chemicals for Chamois and Maestro ,83,50, -   ,-, 120 , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,120 ,120 ,,, -   ,
276,105638,PEVIT XVS 5491,GSC,O,-,Chemicals for Chamois and Maestro ,83,1, -   ,-, -   , -   , -   , -   ,,,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
277,104930,RODA PUR WX,TFL,O,-,sample-Chemicals for Chamois and Maestro ,85,1, -   ,-, -   , 46 , -   , 2 , 4 , -   , 11.50 ,4.8, 11.50 , -   , -   ,,, -   , -   ,46 ,46 ,,, -   ,
278,,ISOLAC FUCSIA LP,GSC,O,-,Chemicals for Chamois and Maestro ,83,1, -   ,-, -   , -   , -   , -   ,,,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
279,105612,SHADE FUXIA/EJ,GSC,O,-,-,83,10, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, -   ,
280,104948,RODA WAX 6311,TFL Brazil,O,-,-,85,120, 240 ,2023-04-20::240.0, -   , 10 , -   , 16 , 4 , 14 , 2.50 ,4.8, 62.50 , -   , -   ,,, -   , -   ,10 ,10 ,,, 1 ,
281,105079,RODA CARE CE/N2,TFL Italy,O,-,-,85,80," 1,200 ",2023-05-12::1200.0, -   , -   , -   , -   ,, 80 ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,,, 3 ,
