Material,Component_Description,Consumption,Mon_Year
105263,RODA FEEL 768/ N,91.71,Apr_21
105282,BUTYL CELLOSOLVE (BCS),376,Apr_21
105283,BUTYL CARBITOL (BC),787.326,Apr_21
105310,RODA LAC S 214/N,6082.662,Apr_21
105336,EX-SU-76-235,3748.862,Apr_21
105349,RODA FEEL S 2075,2.847,Apr_21
105369,RODA PUR ADX,22.8,Apr_21
105376,TOPCELL VOC FREE,845,Apr_21
105393,RODA FEEL KTA 950,485.715,Apr_21
105402,ICALAC SB1 MATT,262.5,Apr_21
105409,RODA GROUND RECO 5,108,Apr_21
105410,EX-WT-35-711,542,Apr_21
105455,OXY CAR CITRON HP,33.272,Apr_21
105457,OXY CAR MOGANO HP,111.559,Apr_21
105458,OXY CAR AMARANTH HP,29.579,Apr_21
105459,OXY CAR OCEAN BLUE HP,9.608,Apr_21
105460,OXY FINE BIANCO RD,2165.795,Apr_21
105461,OXY CAR BROWN VIOLET HP,894.957,Apr_21
105462,OPERA RUBINO,11.806,Apr_21
105463,OPERA VERDE,1.375,Apr_21
105464,OPERA NERO FR,531.316,Apr_21
105465,OPERA OCRA DL,1941.535,Apr_21
105466,OPERA ROSSO DL,77.479,Apr_21
105467,OPERA BRUNO DL,280.019,Apr_21
105468,OPERA GIALLO,1401.849,Apr_21
105469,OPERA LIMONE,313.032,Apr_21
105470,OPERA TURCHESE,39.053,Apr_21
105471,OPERA PORPORA,92.837,Apr_21
105472,OPERA ARANCIO,19.992,Apr_21
105473,OPERA BLU,82.929,Apr_21
105474,OXY CAR BORDEAUX HP,4.772,Apr_21
105475,OXY FINE VIOLETTO,44.136,Apr_21
105476,OPERA VINACCIA,113.803,Apr_21
105492,SELLA DERM YELLOW M2,20.88,Apr_21
105503,ASTACIN FINISH PS,26.4,Apr_21
105505,ASTACIN FINISH PUMN TF,5500.005,Apr_21
105513,ISOLAC BIANCO N LP,32.321,Apr_21
105515,SAMIACEL OPACO 813 ET,3500.45,Apr_21
105516,RODA CARE HB-B,336,Apr_21
