Material,Component_Description,Consumption,Mon_Year
104931,BINDER M-PR 400,30864.4,Feb_20
104932,BINDER W 212,13566.9,Feb_20
104937,MELIO AQUABASE W-MN,697.4,Feb_20
104938,COMPACT HP3,12602.3,Feb_20
104939,AQUAFIX LUCIDO 555,7644.295,Feb_20
104959,EX-LS-64-468,3.7,Feb_20
104960,RODA LINK 5504/N,1364.984,Feb_20
104961,RODA PUR 65,4932.431,Feb_20
104962,RODA LEVELLER B-LM,314.981,Feb_20
104963,RODA CARE NL,466,Feb_20
104964,RODA FIX 6271,5197.345,Feb_20
104965,RODA LINK C/70,601.41,Feb_20
104973,TFIX M 9562,452.456,Feb_20
104988,RM 2510,713.41,Feb_20
104989,RM 1080,571.46,Feb_20
105008,BINDER M-RI 99,2046.8,Feb_20
105020,BASEMASK 5755/T2,2640,Feb_20
105025,RODA BASE AF-B,156.5,Feb_20
105026,RODA FIX 6271/C,3408.575,Feb_20
105027,RODA TEC AW,3308.035,Feb_20
105042,SAMIANIL CB ROSSO RP,2.206,Feb_20
105043,SAMIANIL CB BRUNO RP,2.811,Feb_20
105045,SAMIANIL CB NERO RP,1.16,Feb_20
105080,RODA CARE HB,317.8,Feb_20
105084,GEALUX QT,38.557,Feb_20
105086,EX WT 43 051,491.301,Feb_20
105114,SODA CASTIC,500,Feb_20
105126,ANTIFOAM NS-165,263.08,Feb_20
105143,SAMIANIL CB GIALLO,0.48,Feb_20
105161,PM1–CLEANING,6460,Feb_20
105167,AQUABASE HP,13407,Feb_20
105173,SMITFIX G 9631,407.253,Feb_20
105175,SMITFIX G 9633,519.712,Feb_20
105203,RODA FIX 6306,198.9,Feb_20
105205,HM-22-132,134.23,Feb_20
105223,EXP AQ SYSTEM EF 91/8,3858.2,Feb_20
105255,MA-22-617,25.722,Feb_20
105256,XR-5525,28.023,Feb_20
105263,RODA FEEL 768/ N,15.835,Feb_20
105283,BUTYL CARBITOL (BC),802.427,Feb_20
105310,RODA LAC S 214/N,5080.163,Feb_20
105336,EX-SU-76-235,2936.436,Feb_20
105376,TOPCELL VOC FREE,206.839,Feb_20
105393,RODA FEEL KTA 950,172.136,Feb_20
105402,ICALAC SB1 MATT,58.5,Feb_20
100041,PRIMAL SB100,958.3,Feb_21
100322,ICALAC SB 200,1072.456,Feb_21
100413,MELIO FOAM AX-03,82.8,Feb_21
101261,EUDERM NAPPA SOFT S 2,381.4,Feb_21
104221,PRIMAL SB-150,828.5,Feb_21
104523,ORANGE DHL,0.8,Feb_21
104528,BI-372,10.5,Feb_21
104531,BLUE DHL,0.96,Feb_21
104541,CICLOESANONE *,761.328,Feb_21
104555,FI-70-306,300.75,Feb_21
104557,CONTEX GIALLO PK,126.702,Feb_21
104572,ICALAC SB 215,386.3,Feb_21
104624,RODA CRYL 137,190.73,Feb_21
104625,RODA FEEL S 930,138.6,Feb_21
104634,RUBY DHL,1.104,Feb_21
104642,TOLUENE,7.14,Feb_21
104643,TOUCHMILL C/LDM (EX MILLITER C/LDM),80,Feb_21
104644,TOUCHMILL C/LDS (EX MILLITER C/LDS),26.935,Feb_21
104645,TOUCHMILL C/W8 (EX MILLITER C/W8),108.71,Feb_21
104667,BINDER M-SM 118,98,Feb_21
104672,MP1,2509.723,Feb_21
104673,SE W 11 CONC,16.38,Feb_21
104676,MELIO PROMUL AP-39 A,1606.91,Feb_21
104680,MEK-CLEANING SOLVENT,461.695,Feb_21
104691,TOUCHMILL C/WS,68.88,Feb_21
104703,SMITFIX G 9058,10.7,Feb_21
104708,NOVA M 16/NF,271.9,Feb_21
104727,DILUENT NITRO GL,17681.767,Feb_21
104728,PRIMEX UD 32,9,Feb_21
104729,TRUMP FINISH 6311,73.886,Feb_21
104744,ISOLAC ORANGE,1.16,Feb_21
104745,ISOLAC GIALLO ORO,61.253,Feb_21
104746,ISOLAC LEMON LP,2.845,Feb_21
104747,ISOLAC OCRA,21.065,Feb_21
104748,ISOLAC BRUNO,8.675,Feb_21
104749,ISOLAC BRUNO ROSSO,27.237,Feb_21
104750,ISOLAC ROSSO,9.196,Feb_21
104752,ISOLAC VIOLETTO,94.7,Feb_21
104753,ISOLAC TURCHESE,27.274,Feb_21
104754,ISOLAC NERO,208.006,Feb_21
104756,BRITEX BLACK,4.507,Feb_21
104757,BRITEX BROWN,6.64,Feb_21
104767,CONTEX ZITRON,102.841,Feb_21
104768,CONTEX BRUNO R,214.38,Feb_21
104769,CONTEX AMARANTO,24.884,Feb_21
104770,CONTEX BLUE MARINE,87.368,Feb_21
104771,CONTEX VERDE,77.531,Feb_21
104773,TO-VI-97,430.708,Feb_21
104797,CONTEX BIANCO ULTRA DOS,2746.772,Feb_21
104798,CONTEX BRUNO V,265.259,Feb_21
104799,CONTEX NERO M,753.612,Feb_21
104800,CONTEX OCRA,1257.936,Feb_21
104801,CONTEX ROSSO CO,80.37,Feb_21
104802,CONTEX BRUNO,570.395,Feb_21
104803,CONTEX GIALLO ECP,665.706,Feb_21
104804,CONTEX ARANCIO ECP,106.596,Feb_21
104805,CONTEX FUCHSIA,25.702,Feb_21
104806,CONTEX LEMON C,418.824,Feb_21
104807,CONTEX BLU T,51.387,Feb_21
104808,CONTEX TURCHESE T,47.964,Feb_21
104809,CONTEX VIOLETTO R,256.993,Feb_21
104810,CONTEX ROSSO HTR-CO,2.115,Feb_21
104824,NOVOLAC 750,7384.371,Feb_21
104846,RODA FEEL N 4,298.924,Feb_21
104847,RODA FEEL S 2081,58.79,Feb_21
104854,RODA PUR K 312,178.285,Feb_21
104867,BASEMASK 5000,940.1,Feb_21
104873,EX-WT-42-511,38.5,Feb_21
104877,CRX S 75 / NT,491.614,Feb_21
104891,LS-64-256,1734.7,Feb_21
104902,SAMIACEL MACCHIA 3338,320.261,Feb_21
104914,SAMIACEL LACCA 793,494.056,Feb_21
104923,TOP RT 10,59.2,Feb_21
104926,TOP 100 M,215.76,Feb_21
104928,RODA BASE 5615,796.25,Feb_21
104929,RODA BASE RECO 8,4598.7,Feb_21
104931,BINDER M-PR 400,14977.7,Feb_21
104932,BINDER W 212,5000.4,Feb_21
104937,MELIO AQUABASE W-MN,420,Feb_21
104938,COMPACT HP3,10177.2,Feb_21
104939,AQUAFIX LUCIDO 555,2624.914,Feb_21
104944,RODA OIL KCF 673,22.5,Feb_21
104946,RODA WAX KCF 684,51.7,Feb_21
104959,EX-LS-64-468,59.8,Feb_21
104960,RODA LINK 5504/N,720.466,Feb_21
104961,RODA PUR 65,2922.2,Feb_21
104962,RODA LEVELLER B-LM,172.83,Feb_21
104963,RODA CARE NL,2357.6,Feb_21
104964,RODA FIX 6271,2613.536,Feb_21
104965,RODA LINK C/70,289.069,Feb_21
104973,TFIX M 9562,574.167,Feb_21
104988,RM 2510,381.35,Feb_21
104989,RM 1080,68.21,Feb_21
104999,RM 4410,6.6,Feb_21
105008,BINDER M-RI 99,2454.68,Feb_21
105018,SAMIANIL CB ROSSO VIVO RP,1.296,Feb_21
105020,BASEMASK 5755/T2,2160,Feb_21
105025,RODA BASE AF-B,7.6,Feb_21
105026,RODA FIX 6271/C,613.402,Feb_21
105027,RODA TEC AW,581.63,Feb_21
105042,SAMIANIL CB ROSSO RP,1.887,Feb_21
105043,SAMIANIL CB BRUNO RP,12.133,Feb_21
105045,SAMIANIL CB NERO RP,9.05,Feb_21
105063,FI 18988,31.2,Feb_21
105084,GEALUX QT,41.34,Feb_21
105086,EX WT 43 051,173.2,Feb_21
105126,ANTIFOAM NS-165,38.526,Feb_21
105167,AQUABASE HP,10800,Feb_21
105173,SMITFIX G 9631,487.674,Feb_21
105175,SMITFIX G 9633,209.048,Feb_21
105203,RODA FIX 6306,24,Feb_21
105205,HM-22-132,49.25,Feb_21
105223,EXP AQ SYSTEM EF 91/8,260.6,Feb_21
105255,MA-22-617,1.8,Feb_21
105256,XR-5525,18.031,Feb_21
105263,RODA FEEL 768/ N,30.06,Feb_21
105283,BUTYL CARBITOL (BC),159.631,Feb_21
105310,RODA LAC S 214/N,2294.6,Feb_21
105336,EX-SU-76-235,1287.811,Feb_21
105349,RODA FEEL S 2075,2.76,Feb_21
105369,RODA PUR ADX,18.6,Feb_21
105393,RODA FEEL KTA 950,72.645,Feb_21
105402,ICALAC SB1 MATT,89.5,Feb_21
105409,RODA GROUND RECO 5,86.6,Feb_21
105410,EX-WT-35-711,44.6,Feb_21
105457,OXY CAR MOGANO HP,1.681,Feb_21
105460,OXY FINE BIANCO RD,23.075,Feb_21
105464,OPERA NERO FR,6.066,Feb_21
105465,OPERA OCRA DL,15.503,Feb_21
105466,OPERA ROSSO DL,0.17,Feb_21
105467,OPERA BRUNO DL,0.981,Feb_21
105468,OPERA GIALLO,0.98,Feb_21
105469,OPERA LIMONE,0.09,Feb_21
105470,OPERA TURCHESE,0.08,Feb_21
105473,OPERA BLU,0.009,Feb_21
105475,OXY FINE VIOLETTO,3.91,Feb_21
105476,OPERA VINACCIA,0.33,Feb_21
105492,SELLA DERM YELLOW M2,9.488,Feb_21
105505,ASTACIN FINISH PUMN TF,1,Feb_21
105513,ISOLAC BIANCO N LP,18.113,Feb_21
105515,SAMIACEL OPACO 813 ET,1376.8,Feb_21
105516,RODA CARE HB-B,18,Feb_21
105545,RODA WAX 4092,17.55,Feb_21
105546,SELLA DERM BROWN M2,0.02,Feb_21
105547,SELLA DERM LIGHT BLUE M2,0.054,Feb_21
105548,SELLA DERM FUCHSIA M2,0.274,Feb_21
105549,SELLA DERM ORANGE M2,0.07,Feb_21
105554,RODA LAC ON 3050-N3,23.274,Feb_21
105560,RODA FIX 5792/N2,41.38,Feb_21
100047,ROSILK 2229,1.4,Feb_22
100094,ACRYSOL RM-825,76.086,Feb_22
100322,ICALAC SB 200,655.762,Feb_22
100413,MELIO FOAM AX-03,85.4,Feb_22
101261,EUDERM NAPPA SOFT S 2,456.633,Feb_22
104528,BI-372,23.544,Feb_22
104531,BLUE DHL,0.238,Feb_22
104541,CICLOESANONE *,597.884,Feb_22
104555,FI-70-306,191.598,Feb_22
104572,ICALAC SB 215,227.5,Feb_22
104624,RODA CRYL 137,146.586,Feb_22
104625,RODA FEEL S 930,47.895,Feb_22
104634,RUBY DHL,0.919,Feb_22
104642,TOLUENE,10.435,Feb_22
104644,TOUCHMILL C/LDS (EX MILLITER C/LDS),13.056,Feb_22
104645,TOUCHMILL C/W8 (EX MILLITER C/W8),47.175,Feb_22
104667,BINDER M-SM 118,731.788,Feb_22
104672,MP1,8112.928,Feb_22
104673,SE W 11 CONC,107.51,Feb_22
104676,MELIO PROMUL AP-39 A,1426.006,Feb_22
104680,MEK-CLEANING SOLVENT,386.072,Feb_22
104690,DC65,57.699,Feb_22
104691,TOUCHMILL C/WS,19.388,Feb_22
104703,SMITFIX G 9058,17.2,Feb_22
104727,DILUENT NITRO GL,14511.499,Feb_22
104728,PRIMEX UD 32,125.734,Feb_22
104729,TRUMP FINISH 6311,128.1,Feb_22
104734,TOUCHMILL C/FAT,15,Feb_22
104744,ISOLAC ORANGE,2.421,Feb_22
104745,ISOLAC GIALLO ORO,40.822,Feb_22
104746,ISOLAC LEMON LP,8.721,Feb_22
104747,ISOLAC OCRA,17.61,Feb_22
104748,ISOLAC BRUNO,17.551,Feb_22
104749,ISOLAC BRUNO ROSSO,20.511,Feb_22
104750,ISOLAC ROSSO,3.691,Feb_22
104752,ISOLAC VIOLETTO,52.334,Feb_22
104753,ISOLAC TURCHESE,15.508,Feb_22
104754,ISOLAC NERO,62.298,Feb_22
104756,BRITEX BLACK,28.733,Feb_22
104757,BRITEX BROWN,4.275,Feb_22
104773,TO-VI-97,782.944,Feb_22
104801,CONTEX ROSSO CO,66.495,Feb_22
104807,CONTEX BLU T,53,Feb_22
104846,RODA FEEL N 4,368.468,Feb_22
104847,RODA FEEL S 2081,19.231,Feb_22
104858,ISO PROPYLIC ALCOHOL,7.25,Feb_22
104867,BASEMASK 5000,2099.224,Feb_22
104873,EX-WT-42-511,79.676,Feb_22
104877,CRX S 75 / NT,296.634,Feb_22
104891,LS-64-256,764.61,Feb_22
104923,TOP RT 10,88.944,Feb_22
104926,TOP 100 M,182.421,Feb_22
104928,RODA BASE 5615,918.21,Feb_22
104929,RODA BASE RECO 8,4734.1,Feb_22
104931,BINDER M-PR 400,16028.2,Feb_22
104932,BINDER W 212,5264.757,Feb_22
104937,MELIO AQUABASE W-MN,399.3,Feb_22
104938,COMPACT HP3,7691.29,Feb_22
104939,AQUAFIX LUCIDO 555,2791.788,Feb_22
104949,RODA BASE RECO 3,48.135,Feb_22
104959,EX-LS-64-468,364.466,Feb_22
104960,RODA LINK 5504/N,698.567,Feb_22
104962,RODA LEVELLER B-LM,140.656,Feb_22
104963,RODA CARE NL,1036.466,Feb_22
104964,RODA FIX 6271,3401.459,Feb_22
104965,RODA LINK C/70,289.041,Feb_22
104973,TFIX M 9562,1122.274,Feb_22
104988,RM 2510,487.81,Feb_22
104989,RM 1080,143.516,Feb_22
105008,BINDER M-RI 99,2443.059,Feb_22
105020,BASEMASK 5755/T2,560,Feb_22
105026,RODA FIX 6271/C,620.899,Feb_22
105027,RODA TEC AW,789.55,Feb_22
105042,SAMIANIL CB ROSSO RP,5.276,Feb_22
105043,SAMIANIL CB BRUNO RP,1.866,Feb_22
105045,SAMIANIL CB NERO RP,5.612,Feb_22
105086,EX WT 43 051,415.6,Feb_22
105114,SODA CASTIC,25,Feb_22
105126,ANTIFOAM NS-165,25.9,Feb_22
105167,AQUABASE HP,6750,Feb_22
105173,SMITFIX G 9631,864.901,Feb_22
105175,SMITFIX G 9633,167.578,Feb_22
105203,RODA FIX 6306,69,Feb_22
105205,HM-22-132,30.42,Feb_22
105223,EXP AQ SYSTEM EF 91/8,2379.964,Feb_22
105255,MA-22-617,4.085,Feb_22
105256,XR-5525,7.633,Feb_22
105263,RODA FEEL 768/ N,33.675,Feb_22
105282,BUTYL CELLOSOLVE (BCS),188,Feb_22
105283,BUTYL CARBITOL (BC),209.019,Feb_22
105310,RODA LAC S 214/N,1682.545,Feb_22
105336,EX-SU-76-235,776.757,Feb_22
105349,RODA FEEL S 2075,3.2,Feb_22
105358,WASSERLAC 3013,27.27,Feb_22
105369,RODA PUR ADX,256.148,Feb_22
105376,TOPCELL VOC FREE,6122.434,Feb_22
105393,RODA FEEL KTA 950,103.187,Feb_22
105402,ICALAC SB1 MATT,3,Feb_22
105409,RODA GROUND RECO 5,1104.258,Feb_22
105410,EX-WT-35-711,124.3,Feb_22
105455,OXY CAR CITRON HP,100.043,Feb_22
105457,OXY CAR MOGANO HP,156.612,Feb_22
105458,OXY CAR AMARANTH HP,59.908,Feb_22
105459,OXY CAR OCEAN BLUE HP,19.912,Feb_22
105460,OXY FINE BIANCO RD,3509.462,Feb_22
105461,OXY CAR BROWN VIOLET HP,268.994,Feb_22
105462,OPERA RUBINO,18.742,Feb_22
105463,OPERA VERDE,34.624,Feb_22
105464,OPERA NERO FR,881.953,Feb_22
105465,OPERA OCRA DL,1626.107,Feb_22
105466,OPERA ROSSO DL,164.32,Feb_22
105467,OPERA BRUNO DL,224.984,Feb_22
105468,OPERA GIALLO,405.262,Feb_22
105469,OPERA LIMONE,262.875,Feb_22
105470,OPERA TURCHESE,60.068,Feb_22
105471,OPERA PORPORA,54.729,Feb_22
105472,OPERA ARANCIO,30.908,Feb_22
105473,OPERA BLU,138.913,Feb_22
105474,OXY CAR BORDEAUX HP,16.877,Feb_22
105475,OXY FINE VIOLETTO,32.193,Feb_22
105476,OPERA VINACCIA,125.637,Feb_22
105492,SELLA DERM YELLOW M2,32.408,Feb_22
105505,ASTACIN FINISH PUMN TF,2327.907,Feb_22
105513,ISOLAC BIANCO N LP,14.079,Feb_22
105515,SAMIACEL OPACO 813 ET,1357.63,Feb_22
105516,RODA CARE HB-B,70.5,Feb_22
105533,SAMIACEL LACCA 793 ET,230.737,Feb_22
105534,SAMIACEL MACCHIA 3338 ET,140.895,Feb_22
105535,OPERA MANDARINO,22.408,Feb_22
105545,RODA WAX 4092,386.902,Feb_22
105547,SELLA DERM LIGHT BLUE M2,10.05,Feb_22
105548,SELLA DERM FUCHSIA M2,7.025,Feb_22
105549,SELLA DERM ORANGE M2,15.105,Feb_22
105550,RODA PUR K 312/F,384.191,Feb_22
105554,RODA LAC ON 3050-N3,133.96,Feb_22
105559,RODA BASE AF-B/N,125.875,Feb_22
105621,RODA WAX KCF 604/N,2576.543,Feb_22
105655,PRIMAL LH 500,1143.446,Feb_22
105656,PRIMAL LH 550,742.581,Feb_22
105659,EX-XR-55-250,3.76,Feb_22
105712,FINISHING KT-468,22,Feb_22
104805,CONTEX FUCHSIA,8,Feb_22
100041,PRIMAL SB100,600,Jan_20
100094,ACRYSOL RM-825,52.4,Jan_20
100322,ICALAC SB 200,1224.653,Jan_20
100413,MELIO FOAM AX-03,107.13,Jan_20
101261,EUDERM NAPPA SOFT S 2,300.1,Jan_20
104221,PRIMAL SB-150,685.8,Jan_20
104512,MELIO WAX AL-03.A LIQ,86.224,Jan_20
104523,ORANGE DHL,0.166,Jan_20
104528,BI-372,79.054,Jan_20
104531,BLUE DHL,0.969,Jan_20
104541,CICLOESANONE *,1416.56,Jan_20
104555,FI-70-306,467.968,Jan_20
104557,CONTEX GIALLO PK,42.823,Jan_20
104572,ICALAC SB 215,212.8,Jan_20
104624,RODA CRYL 137,145.126,Jan_20
104625,RODA FEEL S 930,130.62,Jan_20
104642,TOLUENE,272.95,Jan_20
104644,TOUCHMILL C/LDS (EX MILLITER C/LDS),52,Jan_20
104645,TOUCHMILL C/W8 (EX MILLITER C/W8),30,Jan_20
104672,MP1,5564.479,Jan_20
104673,SE W 11 CONC,4.4,Jan_20
104676,MELIO PROMUL AP-39 A,2479.964,Jan_20
104680,MEK-CLEANING SOLVENT,748.6,Jan_20
104689,CERANIL D 1188,27.92,Jan_20
104691,TOUCHMILL C/WS,84.5,Jan_20
104696,LAMSOFT W 81,32.517,Jan_20
104708,NOVA M 16/NF,629,Jan_20
104727,DILUENT NITRO GL,23496.258,Jan_20
104728,PRIMEX UD 32,71.8,Jan_20
104729,TRUMP FINISH 6311,78.2,Jan_20
104734,TOUCHMILL C/FAT,12,Jan_20
104743,ISOLAC BIANCO,30.271,Jan_20
104744,ISOLAC ORANGE,0.67,Jan_20
104745,ISOLAC GIALLO ORO,55.599,Jan_20
104746,ISOLAC LEMON LP,8.383,Jan_20
104747,ISOLAC OCRA,51.02,Jan_20
104748,ISOLAC BRUNO,11.387,Jan_20
104749,ISOLAC BRUNO ROSSO,43.513,Jan_20
104750,ISOLAC ROSSO,15.053,Jan_20
104752,ISOLAC VIOLETTO,129.078,Jan_20
104753,ISOLAC TURCHESE,37.851,Jan_20
104754,ISOLAC NERO,363.739,Jan_20
104756,BRITEX BLACK,55.37,Jan_20
104757,BRITEX BROWN,10.806,Jan_20
104767,CONTEX ZITRON,201.19,Jan_20
104768,CONTEX BRUNO R,165.739,Jan_20
104769,CONTEX AMARANTO,76.049,Jan_20
104770,CONTEX BLUE MARINE,61.572,Jan_20
104771,CONTEX VERDE,25.865,Jan_20
104773,TO-VI-97,534.985,Jan_20
104794,RODA LAC ON 3050-N,14,Jan_20
104795,PM-4800,27.85,Jan_20
104797,CONTEX BIANCO ULTRA DOS,4369.721,Jan_20
104798,CONTEX BRUNO V,331.114,Jan_20
104799,CONTEX NERO M,1440.103,Jan_20
104800,CONTEX OCRA,1232.163,Jan_20
104801,CONTEX ROSSO CO,159.6,Jan_20
104802,CONTEX BRUNO,814.498,Jan_20
104803,CONTEX GIALLO ECP,588.685,Jan_20
104804,CONTEX ARANCIO ECP,46.677,Jan_20
104805,CONTEX FUCHSIA,11.422,Jan_20
104806,CONTEX LEMON C,273.138,Jan_20
104807,CONTEX BLU T,88.386,Jan_20
104808,CONTEX TURCHESE T,100.33,Jan_20
104809,CONTEX VIOLETTO R,379.278,Jan_20
104810,CONTEX ROSSO HTR-CO,19.4,Jan_20
104819,CORAM T YELLOW,5.938,Jan_20
104824,NOVOLAC 750,9658.875,Jan_20
104846,RODA FEEL N 4,719.164,Jan_20
104847,RODA FEEL S 2081,109.499,Jan_20
104854,RODA PUR K 312,0.48,Jan_20
104858,ISO PROPYLIC ALCOHOL,21,Jan_20
104867,BASEMASK 5000,1353.1,Jan_20
104873,EX-WT-42-511,623.942,Jan_20
104877,CRX S 75 / NT,941.677,Jan_20
104891,LS-64-256,1642.9,Jan_20
104902,SAMIACEL MACCHIA 3338,269.27,Jan_20
104914,SAMIACEL LACCA 793,317,Jan_20
104915,SAMIACEL OPACO 813,1978.8,Jan_20
104923,TOP RT 10,200.624,Jan_20
104926,TOP 100 M,274.1,Jan_20
104928,RODA BASE 5615,637,Jan_20
104929,RODA BASE RECO 8,5249.914,Jan_20
104931,BINDER M-PR 400,1504.351,Jan_20
104932,BINDER W 212,13750.969,Jan_20
104937,MELIO AQUABASE W-MN,480.9,Jan_20
104938,COMPACT HP3,24203.2,Jan_20
104939,AQUAFIX LUCIDO 555,6577.559,Jan_20
104959,EX-LS-64-468,38.35,Jan_20
104960,RODA LINK 5504/N,1179.194,Jan_20
104961,RODA PUR 65,3305.593,Jan_20
104962,RODA LEVELLER B-LM,257.199,Jan_20
104963,RODA CARE NL,1610,Jan_20
104964,RODA FIX 6271,8195.674,Jan_20
104965,RODA LINK C/70,779.423,Jan_20
104973,TFIX M 9562,627,Jan_20
104988,RM 2510,485.059,Jan_20
104989,RM 1080,369.31,Jan_20
105008,BINDER M-RI 99,3880,Jan_20
105020,BASEMASK 5755/T2,1230,Jan_20
105026,RODA FIX 6271/C,552.534,Jan_20
105027,RODA TEC AW,1838.752,Jan_20
105042,SAMIANIL CB ROSSO RP,1.104,Jan_20
105043,SAMIANIL CB BRUNO RP,6.494,Jan_20
105045,SAMIANIL CB NERO RP,1.89,Jan_20
105080,RODA CARE HB,639.1,Jan_20
105084,GEALUX QT,32,Jan_20
105086,EX WT 43 051,212.2,Jan_20
105126,ANTIFOAM NS-165,49.678,Jan_20
105127,BIOTHANE UW 6522,180,Jan_20
105143,SAMIANIL CB GIALLO,1.26,Jan_20
105161,PM1–CLEANING,5510,Jan_20
105167,AQUABASE HP,8923,Jan_20
105173,SMITFIX G 9631,1739,Jan_20
105175,SMITFIX G 9633,486.326,Jan_20
105203,RODA FIX 6306,134.35,Jan_20
105205,HM-22-132,97.22,Jan_20
105220,NEOFILM STUCCO 2499              ,25,Jan_20
105223,EXP AQ SYSTEM EF 91/8,3210.014,Jan_20
105255,MA-22-617,8.2,Jan_20
105256,XR-5525,39.66,Jan_20
105263,RODA FEEL 768/ N,35,Jan_20
105282,BUTYL CELLOSOLVE (BCS),188,Jan_20
105283,BUTYL CARBITOL (BC),576.601,Jan_20
105304,EXP COVER DDR/01,80,Jan_20
105310,RODA LAC S 214/N,4225,Jan_20
105336,EX-SU-76-235,2556.3,Jan_20
105349,RODA FEEL S 2075,36.124,Jan_20
105363,LW-64-490,14,Jan_20
105364,FI-77,5,Jan_20
105393,RODA FEEL KTA 950,120.778,Jan_20
105402,ICALAC SB1 MATT,57.7,Jan_20
105408,AQ SYSTEM 3292 LUX,19.4,Jan_20
100041,PRIMAL SB100,2437,Jan_21
100322,ICALAC SB 200,2469.241,Jan_21
100413,MELIO FOAM AX-03,118.801,Jan_21
101261,EUDERM NAPPA SOFT S 2,1095.2,Jan_21
104221,PRIMAL SB-150,1694.8,Jan_21
104523,ORANGE DHL,1.268,Jan_21
104528,BI-372,11.2,Jan_21
104531,BLUE DHL,1.424,Jan_21
104541,CICLOESANONE *,1941.431,Jan_21
104555,FI-70-306,537.75,Jan_21
104557,CONTEX GIALLO PK,350.931,Jan_21
104564,HM-283,0.715,Jan_21
104572,ICALAC SB 215,1031.8,Jan_21
104624,RODA CRYL 137,312.616,Jan_21
104625,RODA FEEL S 930,269.89,Jan_21
104634,RUBY DHL,0.202,Jan_21
104642,TOLUENE,8.725,Jan_21
104643,TOUCHMILL C/LDM (EX MILLITER C/LDM),35.288,Jan_21
104644,TOUCHMILL C/LDS (EX MILLITER C/LDS),215.936,Jan_21
104645,TOUCHMILL C/W8 (EX MILLITER C/W8),213.595,Jan_21
104672,MP1,5589.926,Jan_21
104676,MELIO PROMUL AP-39 A,4073.922,Jan_21
104680,MEK-CLEANING SOLVENT,591.033,Jan_21
104690,DC65,54.397,Jan_21
104691,TOUCHMILL C/WS,443.628,Jan_21
104703,SMITFIX G 9058,5,Jan_21
104708,NOVA M 16/NF,488.1,Jan_21
104727,DILUENT NITRO GL,46737.005,Jan_21
104728,PRIMEX UD 32,12,Jan_21
104729,TRUMP FINISH 6311,122.212,Jan_21
104743,ISOLAC BIANCO,10.607,Jan_21
104744,ISOLAC ORANGE,1.796,Jan_21
104745,ISOLAC GIALLO ORO,167.643,Jan_21
104746,ISOLAC LEMON LP,30.52,Jan_21
104747,ISOLAC OCRA,45.173,Jan_21
104748,ISOLAC BRUNO,12.864,Jan_21
104749,ISOLAC BRUNO ROSSO,99.323,Jan_21
104750,ISOLAC ROSSO,11.948,Jan_21
104752,ISOLAC VIOLETTO,195.908,Jan_21
104753,ISOLAC TURCHESE,56.069,Jan_21
104754,ISOLAC NERO,478.56,Jan_21
104756,BRITEX BLACK,41.992,Jan_21
104757,BRITEX BROWN,14.783,Jan_21
104767,CONTEX ZITRON,329.53,Jan_21
104768,CONTEX BRUNO R,584.446,Jan_21
104769,CONTEX AMARANTO,119.488,Jan_21
104770,CONTEX BLUE MARINE,126.139,Jan_21
104771,CONTEX VERDE,123.12,Jan_21
104773,TO-VI-97,1171.78,Jan_21
104797,CONTEX BIANCO ULTRA DOS,8167.426,Jan_21
104798,CONTEX BRUNO V,529.35,Jan_21
104799,CONTEX NERO M,3379.079,Jan_21
104800,CONTEX OCRA,2091.571,Jan_21
104801,CONTEX ROSSO CO,233.654,Jan_21
104802,CONTEX BRUNO,961.671,Jan_21
104803,CONTEX GIALLO ECP,1198.141,Jan_21
104804,CONTEX ARANCIO ECP,244.546,Jan_21
104805,CONTEX FUCHSIA,46.093,Jan_21
104806,CONTEX LEMON C,667.261,Jan_21
104807,CONTEX BLU T,249.033,Jan_21
104808,CONTEX TURCHESE T,239.568,Jan_21
104809,CONTEX VIOLETTO R,493.918,Jan_21
104810,CONTEX ROSSO HTR-CO,12.676,Jan_21
104824,NOVOLAC 750,17640.296,Jan_21
104846,RODA FEEL N 4,893.44,Jan_21
104847,RODA FEEL S 2081,87.126,Jan_21
104854,RODA PUR K 312,367.388,Jan_21
104858,ISO PROPYLIC ALCOHOL,159.95,Jan_21
104867,BASEMASK 5000,3600.7,Jan_21
104873,EX-WT-42-511,55.87,Jan_21
104877,CRX S 75 / NT,1200.877,Jan_21
104891,LS-64-256,2765.209,Jan_21
104902,SAMIACEL MACCHIA 3338,580.316,Jan_21
104910,RODA CARE 5754,5500,Jan_21
104914,SAMIACEL LACCA 793,1150.331,Jan_21
104923,TOP RT 10,254.893,Jan_21
104926,TOP 100 M,287.8,Jan_21
104928,RODA BASE 5615,3256.801,Jan_21
104929,RODA BASE RECO 8,11920.265,Jan_21
104931,BINDER M-PR 400,50561,Jan_21
104932,BINDER W 212,14741.398,Jan_21
104937,MELIO AQUABASE W-MN,706.9,Jan_21
104938,COMPACT HP3,13633.5,Jan_21
104939,AQUAFIX LUCIDO 555,5989.567,Jan_21
104944,RODA OIL KCF 673,60,Jan_21
104946,RODA WAX KCF 684,175.85,Jan_21
104949,RODA BASE RECO 3,25.6,Jan_21
104959,EX-LS-64-468,200.4,Jan_21
104960,RODA LINK 5504/N,1993.397,Jan_21
104961,RODA PUR 65,7620.255,Jan_21
104962,RODA LEVELLER B-LM,367.044,Jan_21
104963,RODA CARE NL,4223.5,Jan_21
104964,RODA FIX 6271,9279.484,Jan_21
