Material,Long Material Description,Supplier,Location,Leadtime,Tank_Drum_Size,function,Comments
104801,ROSSO CONTEX CO,SAMIA,O,70,120,#N/A,
105466,OPERA ROSSO DL,GSC,O,70,120,Pigmented,GSC pigment
105042,SAMIANIL CB ROSSO RP,SAMIA,O,70,25,Pigmented,"xài h?t không mua n?a, chuy?n qua xài ch?t có tên ??u là ""Sella …."" bên TFL"
104750,ISOLAC  ROSSO ,SAMIA,O,70,10,#N/A,"xài h?t không mua n?a, chuy?n qua mua ""SHADE RED"""
105597,SHADE RED/EJ,GSC,O,70,10,#N/A,"pigment EFF nitro, KELA"
105018,SAMIANIL CB ROSSO VIVO RP,SAMIA,O,70,1,Pigmented,
104673,SE W 11 CONC,FENICE,O,64,30,Auxiliary,"Millipunte BRAZOS, TORONTO TIP, Bycast Tip, Malta Tip"
104703,SMITFIX G 9058,SMIT FINISHING,O,70,120,Binder,Millipunte HAWAII TIP
104672,MP1,RIVERBANK,D,14,190,Solvent,pha màu và v? sinh
105161,PM1–CLEANING,SAMCHEM,D,14,190,Solvent,
105094,ACETONE *,AN V?NH PHÁT,D,14,160,#N/A,
105114,SODA CASTIC,Nam Bình,D,14,25,Auxiliary,Maintenance
104642,TOLUENE,RIVERBANK,D,14,179,Solvent, Fiss Deco&lux
104691,TOUCHMILL C/WS,GSC ITALY,O,80,1000,Auxiliary,"MILLING CAPITAL,mekong, express, Datanla,PUCCINI"
104808,TURCHESE CONTEX T,SAMIA,O,70,60,#N/A,
105470,OPERA TURCHESE,GSC,O,70,120,Pigmented,NCC ?ã ??i tên thành (OXY FINE TURCHESE)
105187,OXY FINE TURCHESE,GSC,O,70,120,Pigmented,GSC pigmnet
104753,ISOLAC TURCHESE,SAMIA,O,70,10,Pigmented,"xài h?t không mua n?a, chuy?n qua mua ""SHADE BLU"""
105598,SHADE BLU/EJ,GSC,O,70,10,Pigmented,"pigment EFF nitro, KELA"
104765,BRITEX TURQUOISE,SAMIA,O,70,1,Pigmented,
104913,LS 16-235,STAHL Singapore,O,23,170,Solvent,
105326,SU 16-235,STALH Singapore,O,23,180,#N/A,
105165,LS-76-235,STALH Brazil,O,23,170,Solvent,
105336,EX-SU-76-235,STALH Singapore,O,25,180,Solvent,"EFF, FISS nitro"
104771,CONTEX VERDE,SAMIA,O,70,60,Pigmented,
105463,OPERA VERDE,GSC,O,70,120,Pigmented,GSC pigment
105188,OXY FINE VERDE,GSC,O,70,120,#N/A,GSC project
104809,VIOLETTO CONTEX R,SAMIA,O,70,60,#N/A,
105471,OPERA PORPORA,GSC,O,70,120,Pigmented,GSC pigment
105475,OXY FINE VIOLETTO,GSC,O,70,120,Pigmented,GSC pigment
105474,OXY CAR BORDEAUX HP,GSC,O,70,120,Pigmented,GSC pigment
104752,ISOLAC VIOLETTO,SAMIA,O,70,10,Pigmented,"xài h?t không mua n?a, chuy?n qua mua ""SHADE VIOLET"""
105599,SHADE VIOLET/EJ,GSC,O,70,10,Pigmented,"pigment EFF nitro, KELA"
104655,WT-13-351 (EX-64-170/3),STAHL,O,0,120,Binder,CLASSIC
104873,EX-WT-42-511,STAHL Singapore,O,25,110,Binder,"FISS art CALIFORNIA, CADENZA"
104923,TOP RT 10,GSC GROUP S.P.A,O,70,10,Auxiliary,NCC ?ã ??i tên thành (CRX RT CONC)
105177,CRX RT CONC,GSC GROUP S.P.A,O,70,10,#N/A,tên m?i c?a TOP RT 10
105411,XR-2514,STAHL,O,70,1,Auxiliary,anti allergic to replaceTop RT-10 
104767,CONTEX ZITRON,SAMIA,O,70,60,Pigmented,
105455,OXY CAR CITRON HP,GSC,O,70,150,Pigmented,GSC pigment
104819,CORAM T YELLOW,Orchid Chem,D,14,10,Pigmented,Replacement for GIALLO R+L DHL 240Kg/month
85447,CA 3303,Orchid Chem,D,14,25,#N/A,Replacement for CORAM T YELLOW 
105554,RODA LAC ON 3050-N3,TFL,O,85,20,Solvent,"FISS art SIENA, ARTIC,Maestro"
104842,RODA CARE NC,,O,0,1,Binder,
104854,RODA PUR K 312,TFL,O,85,120,Solvent,
105550,RODA PUR K 312/F,TFL,O,85,120,Solvent,"SIENA, THUNDER, EF GABLES K TT,AGG KARAT K TT,EF OCALA K TT"
104810,CONTEX ROSSO HTR-CO,SAMIA,O,70,60,Pigmented,
105476,OPERA VINACCIA,GSC,O,70,120,Pigmented,GSC pigment
104858,ISO PROPYLIC ALCOHOL,RIVERBANK,D,14,160,Solvent,"DYECOAT-BUENA, Fleshside"
104983,RECAPUR FIX TVN3,,O,0,1,#N/A,
100413,MELIO FOAM AX-03,STAHL Singapore,O,25,50,Auxiliary,add on FONDO FOAM
104877,CRX S 75 / NT,GSC ITALY,O,80,10,Auxiliary,cross linker
105256,XR-5525,STAHL Singapore,O,70,5,Auxiliary,
105659,EX-XR-55-250 ,STAHL Singapore,O,70,5,#N/A,cross linker
104662,ANTISCHIUMA ANZ 130,MAGNABOSCO,O,70,1000,Auxiliary,
104390,SUPRONIL HK BLACK AS,STAHL Germany,O,80,30,Pigmented,(Daniele)we can replace  with the new ones
105045,SAMIANIL CB NERO RP,SAMIA,O,70,1,Pigmented,This chemical will be applied on leather flesh side to use color that is in stock for long time (green
105124,SUPRONIL BLACK LD-5915,STAHL Germany,O,80,1,Pigmented,
104962,RODA LEVELLER B-LM,TFL,O,85,120,Solvent,add on FISS water
104902,SAMIACEL MACCHIA 3338,SAMIA,O,70,50,Solvent,
105534,SAMIACEL MACCHIA 3338 ET,SAMIA,O,70,50,Solvent,KELA
104882,SMITFIX RL 9492,SMIT FINISHING,O,85,120,Binder,MALDONADO  LUX
104497,RODA WAX KCF 638,-,O,0,1,Auxiliary,
