MATERIAL DESCRIPTION,COMPONENT DESCRIPTION,COLORCODE,FAMILY_ARTICLES,ART_TYPE,G_SF,Setup
CAC-W ALINE K TT 09/11 TR1 (1376) PC,FR PIN TBH PB X ARTICLE,1376,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (1378) PC,FR PIN TBH PB X ARTICLE,1378,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (1388) PC,FR PIN TBH PB X ARTICLE,1388,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (1393) PC,FR PIN TBH PB X ARTICLE,1393,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (17001) PC,FR PIN TBH FS F212,17001,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (17004) PC,FR PIN TBH FS F212,17004,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (17036) PC,FR PIN TBH PB X ARTICLE,17036,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (17051) PC,FR PIN TBH COB CC ALINE K TT 17051,17051,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (17058) PC,FR PIN TBH PB X ARTICLE,17058,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (17063) PC,FR PIN TBH PB X ARTICLE,17063,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (17066) PC,FR PIN TBH PB X ARTICLE,17066,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (17071) PC,FR PIN TBH FS F212,17071,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (17075) PC,FR PIN TBH FS F212,17075,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (17077) PC,FR PIN TBH FS F212,17077,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (17082) PC,FR PIN TBH PB X ARTICLE,17082,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (17085) PC,FR PIN TBH PB X ARTICLE,17085,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (17097) PC,FR PIN TBH PB X ARTICLE,17097,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (17099) PC,FR PIN TBH PB X ARTICLE,17099,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (17100) PC,FR PIN TBH PB X ARTICLE,17100,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (17110) PC,FR PIN TBH PB X ARTICLE,17110,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (17127) PC,FR PIN TBH FS F212,17127,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (17128) PC,FR PIN TBH PB X ARTICLE,17128,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (17129) PC,FR PIN TBH PB X ARTICLE,17129,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (17143) PC,FR PIN TBH PB X ARTICLE,17143,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (17202) PC,FR PIN TBH FS F212,17202,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (17209) PC,FR PIN TBH PB X ARTICLE,17209,ALINE,TOP,4,
