,Material,Component_Description,JAN_23,FEB_23,MAR_23,APR_23,MAY_23,JUN_23
888,105043,SAMIANIL CB BRUNO RP,1.667,2.362,11.43,4.727,0.0,0.0
889,105044,MELIO EW-365.A,0.0,0.0,0.0,0.0,0.0,0.0
890,105045,SAMIANIL CB NERO RP,2.855,13.369,19.843,5.877,9.154,3.617
891,105046,INACTIVATED - AQ SYSTEM 411 MATT,0.0,0.0,0.0,0.0,0.0,0.0
892,105047,AQ SYSTEM 151 LUX,0.0,0.0,0.0,0.0,0.0,0.0
893,105048,EXP COVERROL B-12,0.0,0.0,0.0,0.0,0.0,0.0
894,105049,RODA LAC WG 4,0.0,0.0,0.0,0.0,0.0,0.0
895,105050,RODA LAC 93,0.0,0.0,0.0,0.0,0.0,0.0
896,105051,TRUMP FINISH 6311/NEW,0.0,0.0,0.0,0.0,0.0,0.0
897,105052,EX-RC-57-368,0.0,0.0,0.0,0.0,0.0,0.0
898,105053,AQ SYSTEM 511 MATT,0.0,0.0,0.0,0.0,0.0,0.0
899,105054,RODA PUR 5323,0.0,0.0,0.0,0.0,0.0,0.0
900,105055,RODA GROUND UP-XS,0.0,0.0,0.0,0.0,0.0,0.0
901,105056,RODA BASE UP,0.0,0.0,0.0,0.0,0.0,0.0
902,105057,RODA CARE C1,0.0,0.0,0.0,0.0,0.0,0.0
903,105058,RODA FIX 5100/N,0.0,0.0,0.0,0.0,0.0,0.0
904,105059,RODA FEEL S 2075-BR,0.0,0.0,0.0,0.0,0.0,0.0
905,105060,RODA BASE 5073,0.0,0.0,0.0,0.0,0.0,0.0
906,105061,WT-43-118,0.0,0.0,0.0,0.0,0.0,0.0
907,105062,FI 18383,0.0,0.0,0.0,0.0,0.0,0.0
908,105063,FI 18988,0.0,8.0,0.0,0.0,0.0,0.0
909,105064,WAX 1204,0.0,0.0,0.0,0.0,0.0,0.0
910,105065,GEAPUR F-40,0.0,0.0,0.0,0.0,0.0,0.0
911,105066,SMITAUXY 3577,0.0,0.0,0.0,0.0,0.0,0.0
912,105067,SMITBASE 5349,0.0,0.0,0.0,0.0,0.0,0.0
913,105068,SMITWAX  N 1391,0.0,0.0,0.0,0.0,0.0,0.0
914,105069,SMITPUR 2029,0.0,0.0,0.0,0.0,0.0,0.0
915,105070,SMITCRYL 2088,0.0,0.0,0.0,0.0,0.0,0.0
916,105071,SMITWAX 1537/T1,0.0,0.0,0.0,0.0,0.0,0.0
917,105072,SMITFIX 9620/T1,0.0,0.0,0.0,0.0,0.0,0.0
918,105073,SMITFEEL 3529/T1,0.0,0.0,0.0,0.0,0.0,0.0
919,105074,SMITFIX G 9576/T1,0.0,0.0,0.0,0.0,0.0,0.0
920,105075,SMITFIX E  9118,0.0,0.0,0.0,0.0,0.0,0.0
921,105076,RODA BC 5073,0.0,0.0,0.0,0.0,0.0,0.0
922,105077,FLAME RETARDANT,0.0,0.0,0.0,0.0,0.0,0.0
923,105078,RU 43-989,0.0,0.0,0.0,271.102,0.0,0.0
924,105079,RODA CARE CE/N2,0.0,0.0,80.0,0.0,0.0,0.0
925,105080,RODA CARE HB,0.0,0.0,0.0,0.0,0.0,0.0
926,105081,RODA LAC CAB GLOSS,0.0,0.0,0.0,0.0,0.0,0.0
927,105082,ISOLAC FINISH 926,0.0,0.0,0.0,0.0,0.0,0.0
928,105083,BASE MASK 5519,0.0,0.0,0.0,0.0,0.0,0.0
929,105084,GEALUX QT,2.25,64.5,38.25,70.17,62.205,109.4
930,105085,GEAGROUND EC,0.0,0.0,0.0,0.0,0.0,0.0
931,105086,EX WT 43 051,1707.125,1663.325,3237.93,3802.321,2169.665,2946.535
932,105087,RODA WAX KCF 616,0.0,0.0,0.0,0.0,0.0,0.0
933,105088,WAX FINISH 1053,0.0,0.0,0.0,0.0,0.0,0.0
934,105089,WAX TOP 2100,0.0,0.0,0.0,0.0,0.0,0.0
935,105090,POLISAN-GRUND C 250,0.0,0.0,0.0,0.0,0.0,0.0
936,105091,AQ SYSTEM 970 LUX,0.0,0.0,0.0,0.0,0.0,0.0
937,105092,CONTEX AMBRA,0.0,0.0,0.0,0.0,0.0,0.0
938,105093,NAOH,0.0,0.0,0.0,0.0,0.0,0.0
939,105094,ACETONE *,0.0,0.0,0.0,0.0,0.0,0.0
940,105098,MAX FINISH 6311,0.0,0.0,0.0,0.0,0.0,0.0
941,105099,WAX CLASSIC WAX 1,0.0,0.0,0.0,0.0,0.0,0.0
942,105101,EX-RC-43-200,0.0,0.0,0.0,0.0,0.0,0.0
943,105103,NETZMITTEL 44 B,0.0,0.0,0.0,0.0,0.0,0.0
944,105105,NP-9,0.0,0.0,0.0,0.0,0.0,0.0
945,105114,SODA CASTIC,0.0,0.0,150.0,300.0,0.0,25.0
946,105123,AQUALEN P -179,0.0,0.0,0.0,0.0,0.0,0.0
947,105124,SUPRONIL BLACK LD-5915,0.0,0.0,0.0,0.0,0.0,0.0
948,105126,ANTIFOAM NS-165,5.66,6.642,3.263,4.704,2.008,87.934
949,105127,BIOTHANE UW 6522,0.0,0.0,0.0,0.0,0.0,0.0
950,105135,DOWELLIC RA1260,0.0,0.0,0.0,5.945,0.0,0.0
951,105142,RODA CARE GS,0.0,0.0,0.0,0.0,0.0,0.0
952,105143,SAMIANIL CB GIALLO,0.0,0.0,0.0,0.0,0.0,0.0
953,105150,AQ SYSTEM 555 LUX,1100.454,3268.42,4490.753,1263.778,3320.816,2234.754
954,105151,BINDER W 207,0.0,1313.063,7176.069,6261.962,8100.237,4886.732
955,105152,ETHANOL 98%,0.0,0.0,0.0,0.0,0.0,0.0
956,105153,FYL WAX CERA ST,0.0,0.0,0.0,0.0,0.0,0.0
957,105154,SHELLAC,0.0,0.0,0.0,0.0,0.0,0.0
958,105156,WAX G,0.0,0.0,0.0,0.0,0.0,0.0
959,105157,HARDNER UR 26,0.0,0.0,0.0,0.0,0.0,0.0
960,105158,FYL WAX 6G,0.0,0.0,0.0,0.0,0.0,0.0
961,105159,INACTIVATED - RETICOLANTE 05,0.0,0.0,0.0,0.0,0.0,0.0
962,105161,PM1–CLEANING,0.0,0.0,0.0,0.0,0.0,0.0
963,105165,LS-76-235,0.0,0.0,0.0,0.0,0.0,0.0
964,105166,CRX 4662,0.0,0.0,0.0,0.0,0.0,0.0
965,105167,AQUABASE HP,0.0,0.0,0.0,0.0,0.0,0.0
966,105168,MELIO GROUND PG.A,0.0,0.0,0.0,0.0,0.0,0.0
967,105170,AQ SYSTEM EF 91/8,0.0,0.0,0.0,0.0,0.0,0.0
968,105173,SMITFIX G 9631,32.004,266.629,382.465,2250.931,119.06,201.38
969,105174,SMITFIX G 9590/T1,0.0,0.0,0.0,0.0,0.0,0.0
970,105175,SMITFIX G 9633,0.0,62.791,50.245,61.667,24.193,48.805
971,105176,DERMATOP DULL S,0.0,0.0,0.0,0.0,83.173,167.89
972,105177,CRX RT CONC,0.0,0.0,0.0,22.647,37.74,62.913
973,105178,FYL WAX PW/00,0.0,0.0,0.0,0.0,0.0,0.0
974,105179,WASSERLAC 77 ACB,0.0,0.0,0.0,0.0,189.9,879.6
975,105180,OXY FINE NERO FR,0.0,0.0,0.0,0.0,661.55,1338.232
976,105181,SULFURIC ACID,0.0,0.0,0.0,0.0,0.0,0.0
977,105182,DIPHENYLAMINE,0.0,0.0,0.0,0.0,0.0,0.0
978,105185,OXY FINE BLU CO,0.0,0.0,0.0,0.0,0.0,0.0
