,Material,Long Material Description,Supplier,Location,Leadtime,Tank_Drum_Size,function,Comments,Intransit,Intransit_Notes,Stock_CH01,Stock_CH10,Consumption on Current Month,PIGCOM,monthly Chemical Forecast,current Chemical Demand,monthly Consumption (6months),monthly Consumption (3months)
48,104787.0,DERMATOP TP,GSC ITALY,O,80.0,50.0,Auxiliary,,,,,,0.0,,,,0.0,0.0
49,104773.0,TO-VI-97,GSC ITALY,O,80.0,110.0,Solvent,"Emulsione Light, NCC ?ã ??i tên thành (WASSERLAC 77 ACB)",,,,,0.0,,,,612.0,524.0
50,105179.0,WASSERLAC 77 ACB,GSC ITALY,O,80.0,110.0,Solvent,"Emulsione Light,Tên m?i c?a TO-VI-97",220.0,2023-08-19::220.0,1650.0,231.0,183.599,COMPOUND,722.0,185.0,178.0,356.0
51,104780.0,EUDERM MATT SN2,LANSESS,O,26.0,120.0,Auxiliary,to make the transfer article Hermes from Itumbiara to VN.,,,,,0.0,,,,5.0,9.0
52,104926.0,TOP 100 M,GSC ITALY,O,80.0,120.0,Auxiliary,NCC doi ten thanh (DERMATOP DULL S),,,,,0.0,,,,95.0,51.0
53,105176.0,DERMATOP DULL S,GSC ITALY,O,80.0,120.0,Auxiliary,ten moi TOP 100 M,240.0,2023-07-22::240.0,960.0,82.0,30.245,COMPOUND,330.0,52.0,42.0,84.0
54,104965.0,RODA LINK C/70,TFL,O,85.0,10.0,Auxiliary,cross linker,,,1250.0,250.0,71.032,COMPOUND,479.0,98.0,453.0,531.0
55,104939.0,AQUAFIX LUCID 555,GSC,O,70.0,120.0,,NCC da doi ten thanh (AQ SYSTEM 555 LUX),,,,,0.0,COMPOUND,6.0,0.0,143.0,0.0
56,105150.0,AQ SYSTEM 555 LUX,GSC,O,70.0,120.0,Binder,ten moi cua AQUAFIX LUCID 555,3720.0,2023-07-22::1800.0|||2023-08-19::1920.0,4920.0,825.0,440.0,COMPOUND,4094.0,572.0,2613.0,2273.0
57,105021.0,EXP AQUAFIX 1016,GSC,O,70.0,120.0,Binder,"TIP,BONO, VANILE,CAPE TOWN TIP,DAKOTA TIP / replace with 555",,,,,0.0,,,,0.0,0.0
58,105086.0,EX WT 43 051,STAHL Singapore,O,25.0,110.0,Binder,"Fis Baltimora,FISS art: ANGKOR,CAPITAL,TAMPA,FARO,ALINE K TT HP,GABLES,SAHARA, NOKOR, AZORES,MERO",9350.0,2023-07-09::1650.0|||2023-07-24::7700.0,,84.0,208.6,COMPOUND,1840.0,326.0,2588.0,2973.0
59,104555.0,FI-70-306,STAHL Singapore,O,25.0,55.0,Auxiliary,"FISS art: Vintage, EFF Deco/Lux, EFF Classic TT",,,990.0,73.0,17.25,COMPOUND,680.0,52.0,255.0,218.0
60,104512.0,Melio Wax AL-03,STAHL Singapore,O,23.0,60.0,,"WAX DECO&CLASSIC, FISS1 VINTAGE",,,,,0.0,,,,0.0,0.0
61,104805.0,CONTEX FUCHSIA,SAMIA,O,70.0,120.0,Pigmented,,,,,,0.0,PIGMENT,0.0,0.0,0.0,0.0
62,105462.0,OPERA RUBINO,GSC,O,70.0,120.0,Pigmented,GSC pigment,,,1440.0,109.0,2.044,PIGMENT,34.0,1.0,20.0,19.0
63,104803.0,GIALLO CONTEX ECP,SAMIA,O,70.0,120.0,,,,,,,0.0,PIGMENT,1.0,0.0,0.0,0.0
64,105468.0,OPERA GIALLO,GSC,O,70.0,120.0,Pigmented,GSC pigment,480.0,2023-08-19::480.0,2160.0,369.0,79.05,PIGMENT,975.0,78.0,420.0,441.0
65,104557.0,CONTEX GIALLO PK,SAMIA,O,70.0,60.0,Pigmented,,,,,,0.0,PIGMENT,0.0,0.0,0.0,0.0
66,105472.0,OPERA ARANCIO,GSC,O,70.0,120.0,Pigmented,GSC pigment,120.0,2023-08-19::120.0,360.0,167.0,43.541,PIGMENT,147.0,222.0,81.0,72.0
67,104745.0,ISOLAC GIALLO ORO,SAMIA,O,70.0,10.0,Pigmented,"xai het khong mua nua chuyen qua ""SHADE YELLOW""",,,280.0,45.0,15.728,PIGMENT,57.0,33.0,49.0,50.0
68,105593.0,SHADE YELLOW/EJ,GSC,,70.0,10.0,Pigmented,"pigment EFF nitro, KELA",,,,0.0,0.0,,,,0.0,0.0
69,105611.0,SHADE YELLOW CO/EJ,GSC,,70.0,10.0,,"pigment EFF nitro, KELA",,,,,0.0,,,,0.0,0.0
70,104766.0,BRITEX GREEN,SAMIA,O,70.0,1.0,Pigmented,,,,,,0.0,,,,0.0,0.0
71,104727.0,DILUENT NITRO GL,RIVERBANK,D,14.0,850.0,Solvent,"pha EFF, FISS nitro và v? sinh",,,9350.0,355.0,5277.572,COMPOUND,23027.0,7192.0,22168.0,23300.0
72,104564.0,HM-283,STAHL Singapore,O,20.0,1.0,Auxiliary,"TIPSHINE article: MALTA TIP, BY CAST TIP, ZANZI TIP",,,50.0,25.0,0.0,,,,0.0,0.0
73,100029.0,HM-183                   ,STAHL,O,80.0,1.0,,TIP BY MACHINE FOR BONO TT TIP,,,,15.0,0.0,,,,0.0,0.0
74,104563.0,HM-132,STAHL Singapore,O,23.0,22.5,Solvent,,,,,,0.0,COMPOUND,0.0,0.0,0.0,0.0
75,105205.0,HM-22-132,STAHL Singapore,O,25.0,25.0,Solvent,FISS nitro,,,75.0,20.0,13.33,COMPOUND,57.0,7.0,42.0,39.0
76,100322.0,ICALAC SB 200,ICAP,O,83.0,110.0,Solvent,"KELA mua nhieu len, de 2 thang mua mot lan",1650.0,2023-07-02::1650.0,2200.0,248.0,234.185,COMPOUND,1317.0,609.0,1027.0,1193.0
77,104938.0,COMPACT HP3,RECALAC,O,80.0,1000.0,Binder,compound,8000.0,2023-07-10::8000.0,56000.0,1422.0,2307.257,COMPOUND,26035.0,4529.0,10419.0,12884.0
78,104952.0,EX-RC -57-611/B,STAHL EUROPE BV,O,80.0,1000.0,,(DONE)-Stahl Germany have another 14ton in their stock.,,,,,0.0,COMPOUND,0.0,0.0,0.0,0.0
79,104867.0,BASEMASK 5000,SMIT FINISHING,O,70.0,120.0,Binder,"SOFT, MALTA, OVAR",3720.0,2023-07-10::3000.0|||2023-08-15::720.0,4200.0,600.0,764.284,COMPOUND,3535.0,1058.0,1859.0,2196.0
80,105321.0,BASEMUSK 5500,SMIT FINISHING,O,85.0,120.0,Binder,"Not, approved,PM.VIE.0021.19.A ,will be used in Mallorca article.",,,,,0.0,,,,0.0,0.0
81,104931.0,BINDER M-PR 400,GSC ITALY,O,80.0,1000.0,Binder,Compound,,,134000.0,1944.0,2586.783,COMPOUND,40256.0,9103.0,16410.0,13285.0
82,104932.0,BINDER W 212,GSC ITALY,O,80.0,1000.0,Binder,"Compound,NCC doi ten thanh (BINDER W 207)",,,,,0.0,,,,1347.0,0.0
83,105151.0,BINDER W 207,GSC ITALY,O,80.0,1000.0,Binder,ten moi BINDER W 212,4000.0,2023-07-01::4000.0,31000.0,841.0,1560.936,COMPOUND,18136.0,5854.0,4623.0,6416.0
84,104928.0,RODA BASE 5615,TFL,O,85.0,120.0,Binder,"FON or RIM article: AJAX TT, HERCULES TT,CAPRI,SAHARA KTT, RAVENNA,Maestro",34000.0,2023-06-29::1000.0|||2023-06-29::10000.0|||2023-07-17::18000.0|||2023-07-21::5000.0,31000.0,942.0,639.892,COMPOUND,4759.0,5577.0,2846.0,5189.0
85,104987.0,BUTIL DIGLYCOL,SAMCHEM,D,14.0,200.0,,,,,,,0.0,,,,0.0,0.0
86,105283.0,BUTYL CARBITOL (BC),SAMCHEM,D,14.0,200.0,Solvent,add on FISS water,,,,366.0,19.803,COMPOUND,150.0,35.0,121.0,131.0
87,104579.0,LAMOIL GS,UNICHEM,O,0.0,1.0,Auxiliary,,,,,,0.0,,,,0.0,0.0
88,104730.0,LAMSOFT SW16,UNICHEM,O,54.0,100.0,Auxiliary,replace with Roda Feel 768N,,,,,0.0,,,,0.0,0.0
